IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_833,Fingerprint_830,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_791,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_687,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_672,Fingerprint_669,Fingerprint_658,Fingerprint_648,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_147_ENG,MUT_MAP3K19_CSV,MUT_MAST4_EXP,REC_R_HSA_141409,PWY_R_HSA_397014_EXP,GO_0061098,EXP_COQ8A,EXP_GRK2,EXP_BMP2K,EXP_TYRO3,EXP_STK25,EXP_STK39,EXP_EIF2AK2,EXP_MAP2K5
2.213727,753552,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.07154099212737,3.72138881621678,4.76942024328969,4.57092192048935,5.84158574537901,4.67437951358243,7.66433206069086,4.20726204046454
4.642403,753552,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.07154099212737,3.72138881621678,4.76942024328969,4.57092192048935,5.84158574537901,4.67437951358243,7.66433206069086,4.20726204046454
3.207719,753552,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.07154099212737,3.72138881621678,4.76942024328969,4.57092192048935,5.84158574537901,4.67437951358243,7.66433206069086,4.20726204046454
1.584378,753552,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.07154099212737,3.72138881621678,4.76942024328969,4.57092192048935,5.84158574537901,4.67437951358243,7.66433206069086,4.20726204046454
2.750079,753552,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,4.07154099212737,3.72138881621678,4.76942024328969,4.57092192048935,5.84158574537901,4.67437951358243,7.66433206069086,4.20726204046454
3.064314,753552,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,4.07154099212737,3.72138881621678,4.76942024328969,4.57092192048935,5.84158574537901,4.67437951358243,7.66433206069086,4.20726204046454
1.636334,753552,35,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,4.07154099212737,3.72138881621678,4.76942024328969,4.57092192048935,5.84158574537901,4.67437951358243,7.66433206069086,4.20726204046454
3.129464,753552,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.07154099212737,3.72138881621678,4.76942024328969,4.57092192048935,5.84158574537901,4.67437951358243,7.66433206069086,4.20726204046454
2.307553,753552,38,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.07154099212737,3.72138881621678,4.76942024328969,4.57092192048935,5.84158574537901,4.67437951358243,7.66433206069086,4.20726204046454
-1.628119,753552,51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.07154099212737,3.72138881621678,4.76942024328969,4.57092192048935,5.84158574537901,4.67437951358243,7.66433206069086,4.20726204046454
2.809821,753552,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,4.07154099212737,3.72138881621678,4.76942024328969,4.57092192048935,5.84158574537901,4.67437951358243,7.66433206069086,4.20726204046454
-1.654198,753552,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,4.07154099212737,3.72138881621678,4.76942024328969,4.57092192048935,5.84158574537901,4.67437951358243,7.66433206069086,4.20726204046454
2.895553,753552,54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,4.07154099212737,3.72138881621678,4.76942024328969,4.57092192048935,5.84158574537901,4.67437951358243,7.66433206069086,4.20726204046454
