IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_833,Fingerprint_828,Fingerprint_826,Fingerprint_825,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_806,Fingerprint_803,Fingerprint_799,Fingerprint_797,Fingerprint_785,Fingerprint_782,Fingerprint_780,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_698,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_676,Fingerprint_672,Fingerprint_669,Fingerprint_648,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,PKA_131_ENG,PKA_181,PKA_181_ASA,PKA_181_ENG,PKA_197_HYD,MUT_EIF2AK4_EXP,MUT_MAP3K8_EXP,PWY_R_HSA_2187338_EXP,PWY_R_HSA_9006936_EXP,GO_0014066_EXP,GO_0032212_EXP,GO_0036289,GO_0043066,GO_2000650_EXP,FAM_AGC,FAM_CMGC,CLS_gender_f,CLS_NCI_code_C9384,EXP_EIF2AK3,EXP_SRMS,EXP_ICK,EXP_FASTK,EXP_MAP3K10,EXP_TRIO,EXP_TGFBR1,EXP_NUAK2
3.446312,753558,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.23388782649751,3.26772764455628,3.24573788814389,5.82183823229346,3.63167382966914,7.9785196700271,3.20727640634886,5.07372199035257
1.069785,753577,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.41519452601853,0,0,3.41519452601853,1,0,0,2,0,1,0,5.78174914992828,3.08896721359489,3.18043757193588,5.21304046939565,3.26370437038988,6.23334832086195,3.59432477839894,4.52731639400697
3.87406,905978,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.99663282087606,3.11698839648657,3.26337146706941,5.3919269151377,3.31639938034002,5.9063173177469,3.59688551447282,4.14810870130259
-0.268727,905980,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.92825684763875,0,0,0,0,0,0,0,0,1,2,0,0,5.03149652144265,2.95384198527086,3.18202426772408,6.1394732904177,3.36503209760065,5.81280836605052,3.96213457536657,4.32074441747347
-0.391755,909250,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.325,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,6.54667048545592,3.03557044964993,3.22561382497455,6.17563560341732,3.46158060793655,5.89720418620528,3.59463346936155,3.86021275342957
2.258333,909730,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4.90322770262635,3.24835368024925,3.53644024891882,5.89047070573142,3.43295313600562,4.25646413645774,3.32205138261114,3.2852716282072
1.976789,909974,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.72903305453027,0,0,0,0,0,0,0,3.76002848354884,0,1,0,0,6.46706450471497,3.66232353234354,3.55454439658063,6.20825682087942,3.39413890192652,7.34333907636202,3.95159953408147,5.18368579356235
1.627274,753558,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.23388782649751,3.26772764455628,3.24573788814389,5.82183823229346,3.63167382966914,7.9785196700271,3.20727640634886,5.07372199035257
0.1453,753577,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.41519452601853,0,0,3.41519452601853,1,0,0,2,0,1,0,5.78174914992828,3.08896721359489,3.18043757193588,5.21304046939565,3.26370437038988,6.23334832086195,3.59432477839894,4.52731639400697
5.853587,905948,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7.22312494377631,3.67932342885893,3.57309191022542,7.21753856196402,3.95152451120606,6.9432950068827,3.87102764055284,4.31005849291632
