IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_809,Fingerprint_806,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_788,Fingerprint_784,Fingerprint_783,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_677,Fingerprint_676,Fingerprint_672,Fingerprint_669,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_650,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_108,PKA_118_V_CSV,PKA_176,PKA_176_ASA,PKA_219,PKA_219_ASA,PKA_267_B62,PKA_267_L_CSV,PKA_267_L_EXP,PKA_44,PKA_44_ASA,PKA_44_CHA,PKA_44_ENG,PKA_44_EXP,PKA_89_ENG,DOM_FAT,DOM_PHD_EXP,MUT_MARK1_EXP,MUT_MYO3A,MUT_STK19,MUT_STK19_EXP,REC_R_HSA_428531,REC_R_HSA_428531_EXP,REC_R_HSA_5672950_EXP,REC_R_HSA_5692755_EXP,PWY_R_HSA_373755_CSV,PWY_R_HSA_75035_EXP,GO_0001974_EXP,GO_0007030,GO_0016569,GO_0030036,GO_0030216_EXP,GO_0030238,GO_0043154,GO_0043154_EXP,GO_2000379,EXP_GUCY2D,EXP_FAM20A,EXP_BRDT,EXP_STK16,EXP_LMTK3,EXP_SRPK3,EXP_CAMK2D,EXP_CSNK1E_X_EXP_RPP40,EXP_CSNK2A1_X_EXP_HDAC1,EXP_CSNK2A1_X_EXP_SIN3A,EXP_GUCY2D_X_EXP_PDE6H,EXP_INSRR_X_EXP_GRB2,EXP_INSRR_X_EXP_SOS2,EXP_MAP2K1_X_EXP_DNM1,EXP_MAP2K1_X_EXP_PIK3CD,EXP_PAK3_X_EXP_CHRM1,EXP_PAK3_X_EXP_CTNNA1,REC_R_HSA_168162_X_REC_R_HSA_174104,REC_R_HSA_168910_X_REC_R_HSA_174104,PWY_R_HSA_1280218_CSV_X_PWY_R_HSA_442742_CSV,PWY_R_HSA_187687_EXP_X_PWY_R_HSA_6804758_EXP,PWY_R_HSA_3247509_EXP_X_PWY_R_HSA_388841_EXP,PWY_R_HSA_3247509_EXP_X_PWY_R_HSA_389357_EXP,PWY_R_HSA_3247509_EXP_X_PWY_R_HSA_5218920_EXP,PWY_R_HSA_3247509_EXP_X_PWY_R_HSA_5628897_EXP,PWY_R_HSA_5673000_EXP_X_PWY_R_HSA_6804758_EXP,GO_0001666_X_GO_0006469,GO_0001933_EXP_X_GO_0006914_EXP,GO_0006914_EXP_X_GO_0016242_EXP,GO_0007249_X_GO_0007411,GO_0010507_X_GO_0023014,GO_0021952_X_GO_0050772,GO_0023014_X_GO_0045727,Predicted IC50,Validation
3.101688,687448,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.2430086243,0,0,5.8129981607,0,0,0,0,0,0,0,0,1,0,0,0,3.3007572094,3.0246092431,2.9447520849,5.1066096864,3.4466902601,2.8066869148,5.428577798,54.35830418,70.871516397,41.172154995,10.684524157,25.266094201,14.167859584,27.972207168,25.339352779,9.1508486839,29.07281379,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0161471039,1
1.817745,753546,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.4473537445,0,0,0,0,0,1,0,2,0,1,0,0,0,3.3131283008,2.9947934633,3.0622456647,6.4880234608,3.1998299004,3.1628104516,4.3197374658,57.041898391,69.704598902,43.62870504,10.137100942,27.781200272,15.184112697,27.63829846,29.778003913,11.29337335,34.879757528,0,0,0,0,0,0,0,0,0,0,25.751211648,25.751211648,0,2,0,2,2.8215157927,5
1.795692,753579,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.310400732,2.9306829853,2.9262743824,5.5640534114,3.226163538,2.9587801311,5.4976556021,55.995688668,71.005657292,44.597742161,9.2650553091,23.052839882,14.66652438,28.094192431,23.874515306,14.03641386,42.711964745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4781879633,6
3.319675,753596,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.2545426126,9.231704838,0,0.807021,0,0,0,0,2,0,1,0,0,0,3.3256971075,3.702485248,2.9957976654,5.9352159326,3.4132018892,2.8859854708,4.1359245241,40.318841622,68.032179354,44.642763654,9.7662378049,21.984713177,15.175852339,31.077480279,32.511718502,10.632572177,32.777374706,0,0,0.6068120022,0,0,0,0,0,0,0,0,0,4,0,0,0,2.0718367367,3
3.471126,905955,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.5811838676,3.0194321487,3.0794714486,5.3016956496,3.2524294771,2.9355071764,4.7436687975,58.218767244,68.232902032,46.545346629,10.514008463,24.492575975,12.823429103,25.5912206,30.996078497,11.728183844,35.565514001,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3.1836470905,2
2.92665,905974,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6816879044,0,0,0,0,0,0,0,3.3437593215,0,0,0,1,3.0244304175,2.8982673111,3.1179858022,6.6223905422,3.3837777339,3.2216940597,6.3735193297,71.586451382,68.193469921,46.568674468,9.3363107563,21.917179356,11.513393429,39.765015224,32.334077235,9.5181031662,32.896410711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1651683384,7
3.309038,905977,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8319819899,0,0,0,0,1,0,2,0,0,0,0,0,3.3813640541,2.9410140667,3.3440903242,6.6760292477,3.2733988365,2.8255765051,4.1345933566,52.539689772,70.149017024,40.044534623,10.319860761,23.020494804,11.194557842,31.982199019,37.870891979,14.282875854,40.6414511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6630109408,10
3.213031,906813,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7840419678,0,0,0,0,1,0,0,0,0,0,0,0,3.2915347148,2.9898784833,3.4626093119,6.8184411853,3.308496063,3.2751009473,4.6730891924,44.208357325,67.017740607,41.376341962,9.5398823312,22.027852825,12.811581346,44.2714688,30.439823495,11.001480825,33.487466856,0,0,0,0,0,0,0,0,0,0,16.819895748,16.819895748,0,0,0,1,2.9838059405,9
1.038311,906841,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.7210164332,0,0,0,4.7903108889,0,0,0,0,1,0,0,1,0,0,0,3.4637848869,2.8520176879,3.0622812835,6.0677179038,3.4424350511,2.8354155464,5.1389451953,57.344605098,66.374963049,43.143529864,8.8871821798,22.147031564,11.924282574,51.534173431,32.813609881,10.149467418,28.502588136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7066721524,5
2.241147,907067,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0815847826,0,0,0,0,0,0,0,0,0,0,0,0,3.4285808647,4.6142121153,3.192433314,6.9041002491,3.0125808325,3.0161810323,5.3577050227,54.349484288,65.094054393,43.502404293,10.341049917,21.232814808,14.000431851,29.435753007,25.8306865,10.536675025,35.156630619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6575620269,2
