IC50,Cancer,Drug,FP17,FP233,FP244,FP272,FP316,FP390,FP521,FP604,FP627,FP689,FP776,FP992,FP1014,ExtFP10,ExtFP28,ExtFP60,ExtFP338,ExtFP469,ExtFP477,ExtFP627,ExtFP676,ExtFP691,ExtFP737,ExtFP780,ExtFP829,GraphFP103,GraphFP199,GraphFP494,GraphFP496,GraphFP525,GraphFP993,GraphFP1007,1:15930115,Predicted IC50,Validation
3.64169,910691,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2.2908854867,2
0.799783,930082,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2.2908854867,4
3.972882,910691,5,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,2.8062374904,2
3.534226,924187,5,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,2.8062374904,4
0.830005,930082,5,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,2.8062374904,10
3.539677,910691,6,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,3.0806114202,5
3.297155,924187,6,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,3.0806114202,2
2.336064,930082,6,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,3.0806114202,6
3.380056,910691,29,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2.0446838171,10
0.8642,930082,29,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2.0446838171,5
2.420028,910691,30,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,2.4926608806,2
2.336796,930082,30,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,2.4926608806,1
0.886639,910691,32,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0.5250509223,8
2.583061,924187,32,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0.5250509223,7
-1.936889,930082,32,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0.5250509223,9
3.125124,910691,34,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.7811860763,5
