IC50,Cancer,Drug,From_Sanger,Fingerprint_833,Fingerprint_826,Fingerprint_825,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_806,Fingerprint_803,Fingerprint_799,Fingerprint_797,Fingerprint_780,Fingerprint_776,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_676,Fingerprint_672,Fingerprint_669,Fingerprint_650,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_576,PWY_R_HSA_2187338,PWY_R_HSA_2187338_EXP,GO_0032212_EXP,CLS_tumour_source_NS,CLS_NCI_code_C9384,EXP_EGFR_X_EXP_CTGF,EXP_EGFR_X_EXP_LPAR1,EXP_EGFR_X_EXP_PIK3CA,EXP_EIF2AK3_X_EXP_PIK3CA,EXP_FLT1_X_EXP_FGF4,EXP_FLT1_X_EXP_GPC1,EXP_FLT1_X_EXP_VEGFD,EXP_ICK_X_EXP_C1orf56,EXP_MAP4K5_X_EXP_TRADD,EXP_SGK1_X_EXP_EP300,EXP_SGK1_X_EXP_RPTOR,EXP_SRMS_X_EXP_LRGUK,EXP_TGFBR1_X_EXP_BMP7,EXP_TGFBR1_X_EXP_CAV1,EXP_TRIO_X_EXP_RAC3,EXP_YES1_X_EXP_NRG2,PWY_R_HSA_212436_EXP_X_PWY_R_HSA_983712_EXP,GO_0006281_X_GO_0043068,Predicted IC50,Validation
5.8585,905963,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,42.923792789,25.150823293,30.562885334,37.139976082,8.1833401859,13.878485507,9.4310013054,16.840350672,44.068738888,38.190680494,22.461329609,9.0729472449,9.935768594,39.216263118,48.21769919,25.656235856,0,0,5.3527187868,5
1.174062,1298169,1037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,46.795761522,32.586175416,36.223319882,40.651605491,8.5024497004,20.830343857,12.124327519,18.375306648,35.579212793,44.287528173,22.403465531,10.436374882,11.051596243,41.218864563,48.437587861,18.320648217,25.703594287,0,2.3790442808,5
6.436058,905979,176,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41.948711669,27.914656561,33.8662887,35.853186732,8.2853453342,21.058409391,10.026647523,19.889617126,41.737856007,50.244290756,30.018433897,10.001899945,10.976104015,39.3857974,57.331554528,23.938992321,41.875426629,0,6.3796784367,10
1.819556,905980,1015,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.031962577,33.634804536,31.372908933,30.949874485,8.0654240099,12.320755054,8.4585910641,18.393329392,37.177814095,33.136266741,20.230405892,8.2763608946,11.678958849,44.938032933,39.175287153,23.898572713,0,0,2.2607057771,8
2.338149,1298169,1142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,46.795761522,32.586175416,36.223319882,40.651605491,8.5024497004,20.830343857,12.124327519,18.375306648,35.579212793,44.287528173,22.403465531,10.436374882,11.051596243,41.218864563,48.437587861,18.320648217,25.703594287,0,2.1163381404,8
5.645593,905978,1039,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,46.5648385,28.450828401,32.109323102,37.613928056,8.0011809763,14.541122603,8.910284793,14.957154927,36.901078681,42.896116819,21.070747195,8.9924187106,11.056777778,42.152987929,34.319466397,24.089245105,0,0,4.6009423384,3
3.614488,910922,275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,18.339515651,25.015005238,26.780838547,29.431497806,8.4372293781,12.920418851,9.2544751422,16.059482576,32.393053459,40.32113883,21.988647084,10.022026977,10.702926388,37.534663445,29.180902926,23.919655766,0,0,3.829739247,10
-1.699351,905978,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,46.5648385,28.450828401,32.109323102,37.613928056,8.0011809763,14.541122603,8.910284793,14.957154927,36.901078681,42.896116819,21.070747195,8.9924187106,11.056777778,42.152987929,34.319466397,24.089245105,0,0,-0.989845752,4
3.083056,1298169,199,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,46.795761522,32.586175416,36.223319882,40.651605491,8.5024497004,20.830343857,12.124327519,18.375306648,35.579212793,44.287528173,22.403465531,10.436374882,11.051596243,41.218864563,48.437587861,18.320648217,25.703594287,0,3.1302426457,1
2.215907,905947,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5.0797408842,0,0,37.253327817,28.650325315,30.923000583,25.710881579,7.7134237988,18.587271614,7.7728611303,15.481067203,33.132635014,27.956452195,16.537715788,9.3714724475,10.432184761,36.421067563,48.92367853,22.564900187,0,1,2.2680992916,8
4.029023,753577,281,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,3.415194526,3.415194526,0,0,42.664845865,21.921156811,31.952499426,40.328886287,8.2903870821,16.95599617,9.2588230758,16.476668318,38.36152326,30.699142536,17.877384427,8.6985847108,11.101425741,40.645326016,31.804130288,24.589782517,0,0,3.5137736134,5
1.630141,905981,1046,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,40.54243014,18.380960856,34.530170746,40.854718048,8.1400265258,15.137727453,9.0490632399,16.3057956,45.792160248,25.116979853,15.603315776,10.072954528,11.005480865,37.439813301,41.770965566,23.030216495,0,0,2.4191161916,9
3.245616,753577,291,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,3.415194526,3.415194526,0,0,42.664845865,21.921156811,31.952499426,40.328886287,8.2903870821,16.95599617,9.2588230758,16.476668318,38.36152326,30.699142536,17.877384427,8.6985847108,11.101425741,40.645326016,31.804130288,24.589782517,0,0,3.4682549892,7
-0.305447,910952,308,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40.910546146,25.58674391,40.036184801,50.670243007,8.7445677782,16.269800882,9.0751677515,16.505457069,44.997011706,34.860793914,19.419350255,10.230297244,11.859228181,40.309002167,48.949101803,22.9538967,0,0,1.6216876718,9
-1.431966,905948,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,58.560360675,29.592524579,37.23127105,43.288022848,8.1573846716,21.462298759,10.392422187,18.338842368,42.559717562,33.709636537,22.599068732,11.307576203,12.655781679,46.068687804,51.593407945,20.213658125,0,0,1.5601228047,6
4.591613,753577,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3.415194526,3.415194526,0,0,42.664845865,21.921156811,31.952499426,40.328886287,8.2903870821,16.95599617,9.2588230758,16.476668318,38.36152326,30.699142536,17.877384427,8.6985847108,11.101425741,40.645326016,31.804130288,24.589782517,0,0,2.6963510728,2
3.651737,1524415,1043,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.386825469,31.798795669,32.211223223,34.110995671,7.7689453902,14.999712564,9.0143453461,15.686360184,33.146848955,36.716893801,21.644434342,9.6722081008,10.044590051,37.099866225,35.87281124,25.762357352,0,0,3.7102771878,9
1.536206,910922,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.339515651,25.015005238,26.780838547,29.431497806,8.4372293781,12.920418851,9.2544751422,16.059482576,32.393053459,40.32113883,21.988647084,10.022026977,10.702926388,37.534663445,29.180902926,23.919655766,0,0,0.7959509319,1
3.9774224492,905981,1014,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,40.54243014,18.380960856,34.530170746,40.854718048,8.1400265258,15.137727453,9.0490632399,16.3057956,45.792160248,25.116979853,15.603315776,10.072954528,11.005480865,37.439813301,41.770965566,23.030216495,0,0,2.2234396761,10
-3.285317,909730,1057,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,9.4032518559,16.65420112,20.327176097,31.754058311,8.0282910182,12.544588841,9.396758002,17.130337085,31.712024415,34.229118389,17.381255349,9.5084793739,10.502920687,39.908912724,41.091489085,23.408489969,0,0,-2.02625578,7
3.408126,905948,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,58.560360675,29.592524579,37.23127105,43.288022848,8.1573846716,21.462298759,10.392422187,18.338842368,42.559717562,33.709636537,22.599068732,11.307576203,12.655781679,46.068687804,51.593407945,20.213658125,0,0,3.7824253505,9
4.978875,905978,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,46.5648385,28.450828401,32.109323102,37.613928056,8.0011809763,14.541122603,8.910284793,14.957154927,36.901078681,42.896116819,21.070747195,8.9924187106,11.056777778,42.152987929,34.319466397,24.089245105,0,0,4.3847047422,8
5.701205,753558,275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,35.910788323,22.824643674,35.32335231,34.324474889,8.3946496695,18.243474806,10.044527309,14.830475746,39.640818012,26.388549516,17.314486779,10.027880666,9.5947131738,35.623545529,53.22196352,23.679037128,0,0,5.5433843962,3
2.667397,905980,199,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,24.031962577,33.634804536,31.372908933,30.949874485,8.0654240099,12.320755054,8.4585910641,18.393329392,37.177814095,33.136266741,20.230405892,8.2763608946,11.678958849,44.938032933,39.175287153,23.898572713,0,0,2.9607068957,6
1.230525,905948,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,58.560360675,29.592524579,37.23127105,43.288022848,8.1573846716,21.462298759,10.392422187,18.338842368,42.559717562,33.709636537,22.599068732,11.307576203,12.655781679,46.068687804,51.593407945,20.213658125,0,0,3.8033052727,2
2.42389,905948,158,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,58.560360675,29.592524579,37.23127105,43.288022848,8.1573846716,21.462298759,10.392422187,18.338842368,42.559717562,33.709636537,22.599068732,11.307576203,12.655781679,46.068687804,51.593407945,20.213658125,0,0,2.2492321942,10
-0.701582,910922,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,18.339515651,25.015005238,26.780838547,29.431497806,8.4372293781,12.920418851,9.2544751422,16.059482576,32.393053459,40.32113883,21.988647084,10.022026977,10.702926388,37.534663445,29.180902926,23.919655766,0,0,0.2013038321,3
1.912397,909730,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9.4032518559,16.65420112,20.327176097,31.754058311,8.0282910182,12.544588841,9.396758002,17.130337085,31.712024415,34.229118389,17.381255349,9.5084793739,10.502920687,39.908912724,41.091489085,23.408489969,0,0,2.2878277899,7
0.75638,905978,1242,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,46.5648385,28.450828401,32.109323102,37.613928056,8.0011809763,14.541122603,8.910284793,14.957154927,36.901078681,42.896116819,21.070747195,8.9924187106,11.056777778,42.152987929,34.319466397,24.089245105,0,0,-0.096005282,6
2.758166,909730,91,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9.4032518559,16.65420112,20.327176097,31.754058311,8.0282910182,12.544588841,9.396758002,17.130337085,31.712024415,34.229118389,17.381255349,9.5084793739,10.502920687,39.908912724,41.091489085,23.408489969,0,0,3.396486119,10
6.240983,905978,275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,46.5648385,28.450828401,32.109323102,37.613928056,8.0011809763,14.541122603,8.910284793,14.957154927,36.901078681,42.896116819,21.070747195,8.9924187106,11.056777778,42.152987929,34.319466397,24.089245105,0,0,4.429221147,8
2.282563,910920,249,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,53.47618942,24.288492286,37.596093445,36.976320913,8.6845084749,15.732991831,9.2066735393,15.163507557,44.133912777,37.806205653,19.831431624,9.892997902,10.975735843,41.69794873,35.948249549,21.706237506,0,0,1.6570949192,10
3.028163,905980,1050,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24.031962577,33.634804536,31.372908933,30.949874485,8.0654240099,12.320755054,8.4585910641,18.393329392,37.177814095,33.136266741,20.230405892,8.2763608946,11.678958849,44.938032933,39.175287153,23.898572713,0,0,2.8403940367,5
-1.174413,905947,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0797408842,0,0,37.253327817,28.650325315,30.923000583,25.710881579,7.7134237988,18.587271614,7.7728611303,15.481067203,33.132635014,27.956452195,16.537715788,9.3714724475,10.432184761,36.421067563,48.92367853,22.564900187,0,1,-0.918709587,6
