IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_833,Fingerprint_829,Fingerprint_828,Fingerprint_826,Fingerprint_825,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_801,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_788,Fingerprint_785,Fingerprint_783,Fingerprint_780,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_696,Fingerprint_687,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_674,Fingerprint_672,Fingerprint_669,Fingerprint_667,Fingerprint_656,Fingerprint_648,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,REC_R_HSA_2468287,PWY_R_HSA_112409_CSV,PWY_R_HSA_5621481_CSV,PWY_R_HSA_5621575,PWY_R_HSA_8948751,GO_0001570,GO_0006977_EXP,GO_0007095_EXP,GO_0030336,GO_0034976,GO_0034976_EXP,GO_0036289,GO_0042981_EXP,GO_0090002_EXP,SFAM_PFTAIRE,SFAM_PFTAIRE_EXP,EXP_MAP2K4,EXP_MAP3K20,EXP_MAP3K6,EXP_CDK10,EXP_CSNK1D,EXP_AATK,EXP_CDC42BPA,EXP_FAM198A,EXP_LYN,EXP_STK24,EXP_RIPK4,EXP_CAMKV,EXP_MYLK3,EXP_PTK7,EXP_ABL2,EXP_DYRK1B,Predicted IC50,Validation
0.553888,735784,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.4039760326,0,0,0,0,9.6772447164,0,1,3.4242418202,5.5832381506,7.1393695075,3.2787191675,4.3694384171,6.4552947319,3.4300869931,5.067108678,2.7726316159,7.262074027,4.9513401439,4.6699018465,3.3619463864,3.0463042035,5.0710995333,4.724784492,3.0640275951,1.3072773405,3
2.723788,753555,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.5292712426,0,11.39094966,0,0,0,7.5269402313,7.4654408358,3.288871077,4.4712085487,5.9151004371,3.6219686868,4.794346204,3.0031508174,9.1690614198,4.925307982,5.2726516788,3.2813045604,3.0647827491,3.7181861801,5.3068804629,3.1697501687,1.7270127888,3
0.959552,753614,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0563384407,4.6730721366,3.5698545875,4.8001742287,7.9425278778,6.0344192746,5.0737189873,3.5229304442,7.7010889182,6.1083464645,7.4342496831,3.4302768257,3.1659823641,4.7443038207,4.9261534532,3.251204509,-0.610267567,10
-1.404277,753621,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3.4333362406,1,5.324511614,0,0,0,5.9787788201,6.0312257216,3.5143806717,4.0324154781,6.3216019826,3.8080272323,4.7938023949,2.7967185607,6.9600870291,4.648966702,6.2980897328,3.4981307996,3.0829764634,5.4057225886,5.5020044209,3.2303425173,0.5517149569,7
1.246102,753622,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,6.4058295189,0,0,0,5.9036361162,5.9756575265,3.6694626494,4.3555951166,7.0102608802,3.5494691515,4.2825133835,2.9561383018,6.9595342861,5.1113175946,5.4921109602,3.3938861191,3.1957437467,5.2665954484,5.628056078,3.2811201329,-0.040806283,1
1.805941,753623,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4230752411,0,0,0,5.4664080891,6.6369882808,3.6733276306,4.8263921259,6.063672022,5.0054730342,4.4884945325,2.7886179648,5.7890554406,4.4285275195,4.7514626848,3.3565389314,3.1806182191,5.1457137334,5.5379358221,3.7277234318,0.3859744931,5
0.176131,946355,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,28.101780067,0,1,3.4723671337,6.7137943961,5.7083121846,3.3886562218,4.1830750356,5.6994780194,4.1744329281,4.6989945689,2.7628088331,8.0621126038,4.8805784174,5.6922997403,3.3582345169,2.853938978,4.7714696758,4.7552304128,3.4163792623,1.0653137757,8
-2.616285,946356,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,4.8122885527,0,0,0,5.9813033276,6.236311149,3.6336718221,4.6771559445,6.9904779286,3.9168515506,4.2769090777,3.6059594523,6.5499182527,5.2529025781,6.2775480213,3.5506654821,3.1184701205,4.6311521234,4.8689714945,3.3744704135,-0.123798265,8
4.151331,735784,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.4039760326,0,0,0,0,9.6772447164,0,1,3.4242418202,5.5832381506,7.1393695075,3.2787191675,4.3694384171,6.4552947319,3.4300869931,5.067108678,2.7726316159,7.262074027,4.9513401439,4.6699018465,3.3619463864,3.0463042035,5.0710995333,4.724784492,3.0640275951,3.1408985525,3
4.797169,753555,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5292712426,0,11.39094966,0,0,0,7.5269402313,7.4654408358,3.288871077,4.4712085487,5.9151004371,3.6219686868,4.794346204,3.0031508174,9.1690614198,4.925307982,5.2726516788,3.2813045604,3.0647827491,3.7181861801,5.3068804629,3.1697501687,3.6508110154,4
1.467083,753559,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.2823987688,0,0,0,0,0,6.3500338689,6.0418615588,3.4736527643,4.5685512417,6.4301508969,4.2727699702,4.5799959213,2.8380377124,6.6155462425,4.5031533565,3.6422184935,3.2502744166,3.1968202247,4.8584536178,5.9327360559,3.283798323,1.8482933724,1
-0.550506,753614,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0563384407,4.6730721366,3.5698545875,4.8001742287,7.9425278778,6.0344192746,5.0737189873,3.5229304442,7.7010889182,6.1083464645,7.4342496831,3.4302768257,3.1659823641,4.7443038207,4.9261534532,3.251204509,0.5965414036,5
2.529216,753621,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3.4333362406,1,5.324511614,0,0,0,5.9787788201,6.0312257216,3.5143806717,4.0324154781,6.3216019826,3.8080272323,4.7938023949,2.7967185607,6.9600870291,4.648966702,6.2980897328,3.4981307996,3.0829764634,5.4057225886,5.5020044209,3.2303425173,2.5289847415,3
0.82603,753622,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,6.4058295189,0,0,0,5.9036361162,5.9756575265,3.6694626494,4.3555951166,7.0102608802,3.5494691515,4.2825133835,2.9561383018,6.9595342861,5.1113175946,5.4921109602,3.3938861191,3.1957437467,5.2665954484,5.628056078,3.2811201329,1.4252972987,1
0.934774,753623,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4230752411,0,0,0,5.4664080891,6.6369882808,3.6733276306,4.8263921259,6.063672022,5.0054730342,4.4884945325,2.7886179648,5.7890554406,4.4285275195,4.7514626848,3.3565389314,3.1806182191,5.1457137334,5.5379358221,3.7277234318,1.0688791827,2
