IC50,Cancer,Drug,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_828,Fingerprint_822,Fingerprint_820,Fingerprint_819,Fingerprint_799,Fingerprint_797,Fingerprint_791,Fingerprint_782,Fingerprint_712,Fingerprint_697,Fingerprint_687,Fingerprint_646,Fingerprint_644,Fingerprint_629,Fingerprint_617,Fingerprint_611,Fingerprint_363,1:7732553,1:11240377,1:13780542,1:15932400,1:26779842,1:26780130,1:43339263,1:50974206,1:114713907,1:114716126,1:114716127,1:120005390,1:147619471,1:150839441,1:154173077,1:162775833,1:179109050,1:186336615,2:25878210,2:29207174,2:29232410,2:32401249,2:32442328,2:42280861,2:46381709,2:60462007,2:74361554,2:80419563,2:80545042,2:99593939,2:140867691,2:141049110,2:189873634,2:211679103,2:211704200,2:211705345,3:10087148,3:37048514,3:69879247,3:138734644,3:195785901,3:195788680,4:54727236,4:108089142,8:68022146,9:136500753,10:74975586,11:57808485,11:86264248,11:118491881,12:49022063,12:111447503,12:112450394,13:28018549,13:32336811,14:67825566,15:74044424,15:90087137,16:3740511,16:9763259,16:9768974,16:11967775,16:13948273,16:72798538,16:88901565,17:7673669,17:7674256,17:7675067,17:16138191,17:31326144,17:43074370,17:77402285,17:80298351,18:25195189,19:8936351,19:11018979,19:17831787,20:32435135,20:42085759,21:38383810,22:19222684,22:29299270,10:103105727_X_Fingerprint_629,11:118476849_X_Fingerprint_629,11:118476849_X_Fingerprint_812,11:118476849_X_Fingerprint_818,11:96092647_X_Fingerprint_629,12:111447503_X_Fingerprint_629,13:28034144_X_Fingerprint_804,13:28034144_X_Fingerprint_818,16:3740511_X_Fingerprint_629,16:88901565_X_Fingerprint_804,17:77402285_X_Fingerprint_629,17:77402285_X_Fingerprint_818,17:77488745_X_Fingerprint_629,20:32434646_X_Fingerprint_363,20:32434646_X_Fingerprint_834,23:37010315_X_Fingerprint_629,23:53201661_X_Fingerprint_629,Predicted IC50,Validation
2.987939,905938,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8426662623,10
2.514951,905940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8426662623,1
3.127495,906855,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8426662623,3
2.633193,906856,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.262483419,2
2.730462,906870,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0432792636,7
0.832639,907053,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8426662623,7
3.122252,907275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8426662623,8
2.627108,907278,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8426662623,5
2.903207,907280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2424947905,7
2.88923,907311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8426662623,3
