IC50,Cancer,Drug,From_Sanger,Fingerprint_833,Fingerprint_830,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_806,Fingerprint_799,Fingerprint_797,Fingerprint_780,Fingerprint_779,Fingerprint_712,Fingerprint_710,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_697,Fingerprint_687,Fingerprint_685,Fingerprint_677,Fingerprint_676,Fingerprint_672,Fingerprint_669,Fingerprint_656,Fingerprint_650,Fingerprint_646,Fingerprint_644,Fingerprint_617,Fingerprint_611,Fingerprint_576,DOM_FAT,MUT_MAST2,MUT_MAST2_EXP,SFAM_MAST_EXP,FAM_PKL_EXP,EXP_HASPIN,EXP_FER,EXP_MAP3K1,EXP_MAST4,EXP_MAP3K12,EXP_TRPM6,EXP_BLK_X_EXP_CBL,EXP_BLK_X_EXP_DAPP1,EXP_GRK7_X_EXP_CCR8,EXP_LRRK2_X_EXP_RAB29,EXP_LRRK2_X_EXP_TFDP1,EXP_LRRK2_X_EXP_TUBB4B,EXP_MAP3K12_X_EXP_MAPK8IP1,EXP_MAP3K1_X_EXP_NRK,EXP_MAP3K1_X_EXP_SP1,EXP_MAPK14_X_EXP_ACTA1,EXP_MAPK14_X_EXP_DLG1,EXP_MAPK14_X_EXP_ESR1,EXP_RAF1_X_EXP_GP1BA,EXP_RAF1_X_EXP_REM1,EXP_RAF1_X_EXP_SCNN1G
2.776635,688086,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.4785875,6.159237731,7.360646464,3.580446012,4.065998372,2.95881721,14.50630991,10.1692779,9.536691946,13.86071824,21.3508702,36.98272306,13.93457345,20.34228916,42.01021322,15.19851376,20.78781555,13.99811851,22.51205003,22.58134235,19.2498904
2.16145,753616,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.17935239,6.315000135,9.965804292,3.499441912,4.824062036,3.047565261,13.18267185,9.026491855,9.342648061,18.22621584,18.34160487,30.84182634,16.49753815,28.10990824,63.20343288,17.25691955,22.58305983,14.55342159,20.35128,19.87066037,18.38560967
3.005504,753618,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6.932586011,4.157431125,6.204096401,7.633737521,3.085293853,4.37823478,2.794076555,12.75262573,9.152276363,9.752611422,20.53264423,19.46023376,31.83645532,16.02432243,21.35333074,40.27666202,17.08702075,25.64356688,15.94784961,22.70225232,24.53803834,20.54068526
3.63181,753620,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.995572653,5.477221528,8.640029765,3.449660341,4.773320002,3.049815998,12.9704558,9.539951598,9.184856494,18.27636177,19.33695361,31.93912533,17.94990322,24.98614708,49.13443381,15.10357654,22.11501766,14.18735987,21.41181021,21.46602319,19.80283688
2.773124,906803,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.753747172,5.58970471,7.880418336,3.229875453,3.528727165,3.069443066,14.37868044,8.998003639,9.406980188,29.966422,26.32435616,44.90775741,10.13995101,21.91227919,38.87031413,17.60117621,29.25719087,17.59116599,19.89535799,19.6715681,16.8339033
2.579488,907170,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,4.605443309,5.063510854,5.054356634,6.487002783,3.249824674,4.449527673,2.898629013,11.26156785,8.645559228,10.01353897,25.70191674,23.54630943,37.67555555,15.23984039,18.33240486,34.60862468,18.09670554,26.72455961,15.99818533,25.16029964,24.89620388,22.03420876
0.482342,907314,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,3.878066865,3.878066865,0,3.935271857,5.938098173,10.07601766,3.344626516,4.158510111,3.31585205,15.43678801,10.12427998,8.741863604,11.22563139,20.99540332,32.84475229,13.8520646,29.69782705,54.66406651,16.61617793,26.55039049,15.13946019,23.08908686,23.68406822,20.77874924
3.472481,908135,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.290078221,5.574372739,8.837171629,3.272045392,4.241453516,2.877009976,13.86555517,8.965027251,10.16298516,18.60526167,23.50868784,32.6922319,15.20262064,25.16946346,47.18211888,16.66635878,21.79216663,15.56821173,20.50923214,19.37500208,19.53807847
3.63342,908447,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.583277505,5.954975638,10.52423598,3.391286815,4.09556059,3.054499444,12.15020502,9.002631042,9.186970341,14.15379003,18.71526539,31.68911723,13.20154094,29.99061041,59.51954453,16.0707921,26.56100648,15.23389387,20.58686832,21.68810887,19.54237166
1.443277,925342,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,7.314916221,5.088692084,4.992109013,5.686440677,3.320294648,3.822975163,2.973021138,11.58421819,8.108984892,9.380501236,22.22506514,29.98605688,44.87003623,11.93897164,16.30146196,30.63978149,18.61856321,31.87981022,17.14494995,21.47841311,22.70979238,30.95534246
