IC50,Cancer,Drug,From_Sanger,Fingerprint_834,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_819,Fingerprint_818,Fingerprint_797,Fingerprint_714,Fingerprint_710,Fingerprint_698,Fingerprint_697,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_673,Fingerprint_672,Fingerprint_658,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_617,Fingerprint_611,GO_0000278,GO_0016477,FAM_TKL_CSV,PKA_172_ASA_X_Fingerprint_644,EXP_COQ8A_X_EXP_PDSS1,EXP_PRKAA2_X_EXP_TP53,EXP_SRC_X_EXP_ARRB2,EXP_SRC_X_EXP_CASP8,GO_0032212_X_GO_0043066,Predicted IC50,Validation
3.362245,909739,292,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,30.935673215,19.16600935,20.643411577,23.832930548,0,2.9475656313,5
1.766652,909737,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,24.800556685,15.118687946,17.943254587,21.035808844,0,2.0850546956,5
5.273038,909738,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,27.977022855,13.381234536,24.885413353,24.704479382,0,5.3176762124,5
4.66279,1240160,253,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,32.839071169,17.598660957,26.639947184,21.195096258,0,4.5309499207,9
3.241965,909739,158,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30.935673215,19.16600935,20.643411577,23.832930548,0,1.2918771906,8
2.324021,1298151,1037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,35.654114125,11.077290122,21.523076267,22.133894318,0,1.4134255899,8
0.484968,909737,1053,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,24.800556685,15.118687946,17.943254587,21.035808844,0,0.9338624722,8
-0.700238,909737,219,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,24.800556685,15.118687946,17.943254587,21.035808844,0,0.1853460977,9
4.084863,907071,206,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.9,37.041244236,17.060561481,25.724939949,19.803250978,0,3.0990907966,1
-0.095969,909736,1053,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,24.37841374,13.199343784,16.106706893,20.436149802,0,0.6520865449,2
5.509386,1240217,193,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.878621649,13.612986655,16.062063195,11.559611023,0,5.4179228061,4
2.723373,910850,1054,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1.542071,0,48.41287936,19.382278659,37.993831391,31.328445838,1,2.8410340101,2
1.619925,1240216,235,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0.824209,0,24.595890283,14.349956727,17.323213801,16.791871412,0,1.7713726009,4
4.69518,909719,329,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0.751916,0,29.836462018,14.588292222,17.13390608,21.87263279,0,5.0549737086,2
-0.17151,1298151,256,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,35.654114125,11.077290122,21.523076267,22.133894318,0,1.1146298579,8
1.728574,1240160,1037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,32.839071169,17.598660957,26.639947184,21.195096258,0,1.4134255937,1
-0.734693,907071,157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37.041244236,17.060561481,25.724939949,19.803250978,0,-0.220606382,8
1.129011,1298151,308,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,35.654114125,11.077290122,21.523076267,22.133894318,0,-0.666677826,5
1.857438,1298151,177,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,35.654114125,11.077290122,21.523076267,22.133894318,0,2.3881835788,9
4.984195,909719,275,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0.751916,0,29.836462018,14.588292222,17.13390608,21.87263279,0,4.3901092944,3
-1.274729,907057,273,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.774233,0,26.467730223,14.239302059,20.159938621,19.596252605,0,1.1448419692,6
1.14139,1240217,262,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,25.878621649,13.612986655,16.062063195,11.559611023,0,2.3378528689,2
3.139064,1240160,1028,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,32.839071169,17.598660957,26.639947184,21.195096258,0,2.8401055062,1
-2.69907,1298151,302,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,35.654114125,11.077290122,21.523076267,22.133894318,0,-0.705126552,1
2.666963,907071,1050,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,37.041244236,17.060561481,25.724939949,19.803250978,0,1.6897343333,4
4.362896,909738,345,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,27.977022855,13.381234536,24.885413353,24.704479382,0,3.9852988388,9
5.226395,910850,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1.542071,0,48.41287936,19.382278659,37.993831391,31.328445838,1,5.7965419213,9
3.489556,910850,185,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1.542071,0,48.41287936,19.382278659,37.993831391,31.328445838,1,3.4440840166,9
3.060726,1298146,167,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,1.351098,0,51.964453804,21.931007996,34.888751606,29.775278758,2,2.0892105547,2
1.002013,909739,153,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,30.935673215,19.16600935,20.643411577,23.832930548,0,0.4908920398,9
3.223327,909739,330,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,30.935673215,19.16600935,20.643411577,23.832930548,0,3.4635140058,10
5.060395,1298151,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,35.654114125,11.077290122,21.523076267,22.133894318,0,3.9549926383,2
1.268905,909738,293,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,27.977022855,13.381234536,24.885413353,24.704479382,0,2.2387219011,10
3.564453,909738,1025,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,27.977022855,13.381234536,24.885413353,24.704479382,0,3.8692608648,5
2.642622,1298146,1028,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,2,1.351098,0,51.964453804,21.931007996,34.888751606,29.775278758,2,2.8409165037,10
0.678498,1240217,167,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,22.2,25.878621649,13.612986655,16.062063195,11.559611023,0,1.9005045947,1
-1.604615,909738,1060,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,27.977022855,13.381234536,24.885413353,24.704479382,0,-0.91584406,3
2.144033,909738,1019,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,27.977022855,13.381234536,24.885413353,24.704479382,0,3.2817818143,6
-1.23139,907071,155,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,-0.9,37.041244236,17.060561481,25.724939949,19.803250978,0,0.2367731433,1
