IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_788,Fingerprint_785,Fingerprint_784,Fingerprint_783,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_669,Fingerprint_656,Fingerprint_650,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_260,PKA_260_ENG,SDOM_subdomainIV,MUT_RPS6KB2,MUT_RPS6KB2_EXP,MUT_TRPM6_EXP,GO_0061024,GO_0061024_EXP,SFAM_DYRK1_EXP,SFAM_FJ_EXP,SFAM_NuaK,CLS_Histology_subtype_1_mixed_carcinoma,EXP_SBK2,EXP_ACVR2B,EXP_STK10,EXP_STK19,EXP_CSNK1E_X_EXP_B9D1,EXP_CSNK1E_X_EXP_SEPT2,EXP_CSNK1E_X_EXP_TCTN1,EXP_CSNK1E_X_EXP_UTP3,EXP_FGFR2_X_EXP_EFNA1,EXP_FGFR2_X_EXP_EPN3,EXP_FGFR2_X_EXP_IGF1,EXP_MAP2K2_X_EXP_HRAS,EXP_MAP2K2_X_EXP_KRAS,EXP_MAPK8_X_EXP_ATF3,EXP_MAPK8_X_EXP_CRK,EXP_MAPK8_X_EXP_HRAS,EXP_MAPK8_X_EXP_HSP90AA1,EXP_MAPK8_X_EXP_IL2RB,EXP_MAPK8_X_EXP_TNFRSF1A,EXP_MAPKAPK3_X_EXP_TNRC6C,EXP_STRADB_X_EXP_PRKAB1,EXP_SYK_X_EXP_TLR4,REC_R_HSA_3228469_X_REC_R_HSA_6802932,REC_R_HSA_3228469_X_REC_R_HSA_6802934,PWY_R_HSA_109582_CSV_X_PWY_R_HSA_111465_CSV,PWY_R_HSA_111465_CSV_X_PWY_R_HSA_1266738_CSV,PWY_R_HSA_111465_CSV_X_PWY_R_HSA_5673001_CSV,PWY_R_HSA_111465_CSV_X_PWY_R_HSA_5683057_CSV,PWY_R_HSA_111465_CSV_X_PWY_R_HSA_5684996_CSV,PWY_R_HSA_111465_CSV_X_PWY_R_HSA_76002_CSV,GO_0003007_X_GO_0007268,GO_0010629_X_GO_0048015,Predicted IC50,Validation
0.561025,905990,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.316716036,4.7301667258,3.5996860333,3.0115798512,45.153929489,63.71406244,32.068112788,57.518972533,28.115271936,15.015941855,14.507169296,47.024205049,51.090004331,20.961698252,34.7982297,33.700834615,50.353512292,15.836554572,23.469900946,22.337452878,17.781933801,14.541564161,0,0,0,0,0,0,0,0,0,0,1.8128991422,7
2.287081,924186,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3690298436,3.8872657462,5.0010666118,2.5640997749,47.865575773,69.185328641,41.377931193,64.864062518,9.8223679945,9.6336058683,9.6095605783,55.735329281,44.080622543,16.93644073,42.117697825,43.766951556,55.990240354,19.798005105,33.50632258,23.450478127,22.678765651,10.506280606,0,0,0,0,0,0,0,0,0,0,0.7944803881,4
2.632372,1240128,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7134493439,4.6486433566,4.333966068,2.5466618141,49.945427709,70.863126338,48.585609266,67.652922267,9.8395211926,9.6339418627,9.491291765,48.0970981,48.439641179,15.159800286,32.98322865,27.750731249,44.609758797,14.254972335,22.945888818,23.886545611,22.151758061,9.1415663813,0,0,0,0,0,0,0,0,0,0,1.9738214376,4
2.397922,905990,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.316716036,4.7301667258,3.5996860333,3.0115798512,45.153929489,63.71406244,32.068112788,57.518972533,28.115271936,15.015941855,14.507169296,47.024205049,51.090004331,20.961698252,34.7982297,33.700834615,50.353512292,15.836554572,23.469900946,22.337452878,17.781933801,14.541564161,0,0,0,0,0,0,0,0,0,0,2.4897628874,6
0.905132,924186,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3690298436,3.8872657462,5.0010666118,2.5640997749,47.865575773,69.185328641,41.377931193,64.864062518,9.8223679945,9.6336058683,9.6095605783,55.735329281,44.080622543,16.93644073,42.117697825,43.766951556,55.990240354,19.798005105,33.50632258,23.450478127,22.678765651,10.506280606,0,0,0,0,0,0,0,0,0,0,1.2286074135,5
2.148937,1240128,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7134493439,4.6486433566,4.333966068,2.5466618141,49.945427709,70.863126338,48.585609266,67.652922267,9.8395211926,9.6339418627,9.491291765,48.0970981,48.439641179,15.159800286,32.98322865,27.750731249,44.609758797,14.254972335,22.945888818,23.886545611,22.151758061,9.1415663813,0,0,0,0,0,0,0,0,0,0,1.6854644317,1
4.202028,905990,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.316716036,4.7301667258,3.5996860333,3.0115798512,45.153929489,63.71406244,32.068112788,57.518972533,28.115271936,15.015941855,14.507169296,47.024205049,51.090004331,20.961698252,34.7982297,33.700834615,50.353512292,15.836554572,23.469900946,22.337452878,17.781933801,14.541564161,0,0,0,0,0,0,0,0,0,0,4.0699801583,6
3.632549,924186,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3690298436,3.8872657462,5.0010666118,2.5640997749,47.865575773,69.185328641,41.377931193,64.864062518,9.8223679945,9.6336058683,9.6095605783,55.735329281,44.080622543,16.93644073,42.117697825,43.766951556,55.990240354,19.798005105,33.50632258,23.450478127,22.678765651,10.506280606,0,0,0,0,0,0,0,0,0,0,2.8922006767,10
2.833324,1240128,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7134493439,4.6486433566,4.333966068,2.5466618141,49.945427709,70.863126338,48.585609266,67.652922267,9.8395211926,9.6339418627,9.491291765,48.0970981,48.439641179,15.159800286,32.98322865,27.750731249,44.609758797,14.254972335,22.945888818,23.886545611,22.151758061,9.1415663813,0,0,0,0,0,0,0,0,0,0,3.1602469418,7
3.224822,905990,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.316716036,4.7301667258,3.5996860333,3.0115798512,45.153929489,63.71406244,32.068112788,57.518972533,28.115271936,15.015941855,14.507169296,47.024205049,51.090004331,20.961698252,34.7982297,33.700834615,50.353512292,15.836554572,23.469900946,22.337452878,17.781933801,14.541564161,0,0,0,0,0,0,0,0,0,0,2.1170308794,2
0.796552,924186,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3690298436,3.8872657462,5.0010666118,2.5640997749,47.865575773,69.185328641,41.377931193,64.864062518,9.8223679945,9.6336058683,9.6095605783,55.735329281,44.080622543,16.93644073,42.117697825,43.766951556,55.990240354,19.798005105,33.50632258,23.450478127,22.678765651,10.506280606,0,0,0,0,0,0,0,0,0,0,0.9756677879,6
0.41152,1240128,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7134493439,4.6486433566,4.333966068,2.5466618141,49.945427709,70.863126338,48.585609266,67.652922267,9.8395211926,9.6339418627,9.491291765,48.0970981,48.439641179,15.159800286,32.98322865,27.750731249,44.609758797,14.254972335,22.945888818,23.886545611,22.151758061,9.1415663813,0,0,0,0,0,0,0,0,0,0,1.6942910165,9
