IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_833,Fingerprint_830,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_822,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_806,Fingerprint_804,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_792,Fingerprint_788,Fingerprint_784,Fingerprint_783,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_707,Fingerprint_705,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_677,Fingerprint_674,Fingerprint_672,Fingerprint_667,Fingerprint_658,Fingerprint_656,Fingerprint_650,Fingerprint_648,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_576,MOT_2D_beta2strand,REC_R_HSA_5672972,REC_R_HSA_5672972_EXP,PWY_R_HSA_194138_CSV,PWY_R_HSA_416482,PWY_R_HSA_416482_EXP,GO_0006357,GO_0018107,GO_0034162_EXP,GO_0035556_CSV,GO_0090002,EXP_AKT3,EXP_BRDT,EXP_BCKDK_X_EXP_DLD,EXP_CDK13_X_EXP_UBXN7,EXP_NTRK3_X_EXP_SHC3,EXP_PLK2_X_EXP_CCNF,EXP_PRKACA_X_EXP_HAUS2,EXP_PRKACA_X_EXP_RAB11A,EXP_PRKACG_X_EXP_CACNA2D4,EXP_PRKACG_X_EXP_OR10AG1,EXP_PRKG1_X_EXP_PRKAR1B,EXP_RIOK1_X_EXP_UTP3,EXP_RIOK1_X_EXP_WDR36,PWY_R_HSA_168138_EXP_X_PWY_R_HSA_9006934_EXP,GO_0035556_EXP_X_GO_0043507_EXP,Predicted IC50,Validation
3.614664,684057,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3.6524762055,0,0,0,0,0,3.0909651149,2.9417306795,50.379464217,37.7518021,8.5429282835,18.311755346,23.421523515,31.722079804,9.1117252354,9.3976898544,10.613455181,73.067310145,62.936821248,0,0,3.7675044851,2
3.223394,684059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,7.7419780697,0,0,0,0.792229,0,2.8179604972,3.0196608111,42.6897224,39.589256879,8.2306219347,15.089954865,21.274815729,26.007842337,9.6144764242,9.361249415,12.229593065,71.633589187,64.736529026,0,0,2.4448789116,10
2.048918,684072,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0.719164,0,4.225155659,2.8120230414,49.398869272,34.349183998,9.0052370897,18.209939189,20.110892585,28.536601028,9.9214544172,9.7823088548,12.294260547,65.874090874,58.81610126,0,0,2.4244598998,8
3.176218,909717,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.676585,0,5.7041244829,2.8853078362,49.960062639,26.394592694,11.401136223,28.150214215,23.366112791,27.347878274,10.400456682,10.453581023,10.77562335,53.406060786,53.270873983,0,0,2.2835312329,7
2.32846,909731,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.692127,0,3.7927599229,2.9507145701,45.195177356,30.24896149,8.8587744464,19.403289614,22.43443416,27.796532317,9.729510298,10.033744688,13.110838676,71.565154191,69.671332466,0,0,2.6033263362,1
0.644691,925345,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.809279,0,0,1,1,0,2.376703,0,3.0257640801,2.7765696572,50.955999305,23.819720015,9.6166305006,26.426081687,21.183419867,23.963403695,9.48998993,8.7548531016,9.6053583149,70.817851914,56.739733584,0,0,-0.331393981,4
2.511754,949155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.778857,1,3.0044150727,1,0,0,0,1,3.1460826031,2.8879198566,40.583446295,36.274790067,8.7058642429,16.760101263,19.652003249,26.775528187,9.1487472515,10.012962141,11.576327373,74.413931715,68.573827444,0,0,1.8687414675,8
1.135791,949156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.776085,0,2.9261285918,2.8780533823,52.060201968,44.798093486,9.644120852,17.625816762,20.705489864,24.332879111,9.5824113225,9.3294090871,12.146003422,56.593475856,51.027824356,0,0,1.6521643845,1
1.028517,949157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.888198,0,4.1010319299,2.8984326971,56.968464021,25.322694992,9.9341309394,20.766435669,21.281993537,31.360988594,10.77828531,10.163728235,11.637528743,56.566119128,51.412605613,0,12.555750441,2.3376747111,7
2.581376,949163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3.3313517261,0,0,0,0.739629,1,2.9891529741,2.9104168565,47.3863056,40.512636281,10.044883454,15.033731639,21.968384453,28.198933426,9.9762453564,9.2094697202,10.043242677,68.979106363,59.930806696,0,0,2.0459843008,10
3.445537,949164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.1641075918,3.1941634071,54.96467619,33.33989106,8.3086968497,20.793253443,20.62812756,26.047339995,9.6354531193,9.4661520213,12.098228524,66.442457496,61.087107443,0,0,3.8645003516,4
1.489525,949165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,4.6977843984,0,1,0,1.373047,1,3.0490428487,2.7228380038,48.829585034,28.39740213,9.1206759932,20.997731019,19.889241117,27.597918444,9.8348683936,10.150295576,10.532556832,61.213092099,56.058785613,0,24.685635707,1.92277597,7
