IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_833,Fingerprint_830,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_791,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_687,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_672,Fingerprint_669,Fingerprint_658,Fingerprint_648,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,MUT_MAP3K19_CSV,EXP_COQ8A,EXP_BMP2K,EXP_TYRO3,EXP_STK39,EXP_ABL1_X_EXP_NAA25,EXP_ABL1_X_EXP_WASF1,EXP_BMP2K_X_EXP_NUMB,EXP_EIF2AK2_X_EXP_DDX58,EXP_EIF2AK2_X_EXP_IFI44L,EXP_GRK2_X_EXP_OR7G3,EXP_GRK2_X_EXP_P2RY11,EXP_GRK2_X_EXP_PEBP1,EXP_STK25_X_EXP_PDCD10,Predicted IC50,Validation
2.213727,753552,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,2.0238389496,9
4.642403,753552,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,4.667528646,3
3.207719,753552,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,3.2319571487,6
1.584378,753552,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,1.9083725427,9
2.750079,753552,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,2.9206498748,7
3.064314,753552,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,3.6536298638,7
1.636334,753552,35,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,1.9999374961,6
3.129464,753552,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,1.7917260739,8
2.307553,753552,38,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,-0.087786794,1
-1.628119,753552,51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,1.6876320922,9
2.809821,753552,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,3.0299087902,2
