IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_833,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_803,Fingerprint_801,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_792,Fingerprint_791,Fingerprint_784,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_705,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_687,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_672,Fingerprint_669,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,MUT_EIF2AK1,REC_R_HSA_450346,REC_R_HSA_450346_EXP,PWY_R_HSA_1852241_EXP,PWY_R_HSA_453279,GO_0007223,GO_0007399_CSV,GO_0016572,GO_0019933_EXP,GO_0030509_EXP,GO_0032147_CSV,GO_0050766_CSV,GO_0071560,SFAM_DYRK1_EXP,SFAM_RIPK_EXP,CLS_Histology_subtype_1_astrocytoma_Grade_III,EXP_CLK4,EXP_TRPM7,EXP_TBK1,EXP_MAPK1,EXP_GRK1,EXP_STRADB,EXP_MAP3K20,EXP_CAMK1,PKA_117_X_Fingerprint_696,PKA_134_ENG_X_Fingerprint_696,PKA_134_HYD_X_Fingerprint_644,PKA_134_VOL_X_Fingerprint_696,PKA_140_B62_X_Fingerprint_644,PKA_68_HYD_X_Fingerprint_698,PKA_77_ASA_X_Fingerprint_611,PKA_84_ASA_X_Fingerprint_812,PKA_84_POL_X_Fingerprint_812,EXP_DCLK2_X_EXP_ASF1B,EXP_EIF2AK3_X_EXP_PPP1CB,EXP_LCK_X_EXP_CD28,EXP_LCK_X_EXP_CD4,EXP_TBK1_X_EXP_IFIH1,REC_R_HSA_3928578_EXP_X_REC_R_HSA_6802932_EXP,PWY_R_HSA_162582_EXP_X_PWY_R_HSA_453274_EXP,PWY_R_HSA_3371571_EXP_X_PWY_R_HSA_983705_EXP,PWY_R_HSA_453279_EXP_X_PWY_R_HSA_76002_EXP,GO_0000165_EXP_X_GO_0016310_EXP,GO_0007050_X_GO_0043066,GO_0010628_X_GO_0045087,GO_0043123_X_GO_0048013
1.558665,908452,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3.54574127293836,0,0,0.666601,0,0,0,0,0,0,0,0,1,4.49934873867704,4.91898999741596,7.57563399123747,5.99980778667002,2.91312128871987,3.51106669035207,7.10276734784098,3.66266750863572,0,0,0,0,0,0,0,0,0,20.0625434743812,32.8694925249672,8.97285451123643,8.85562305235363,38.3797853886126,0,89.5196320175849,18.3645332871502,0,0,0,0,0
5.280923,946370,1042,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.745758,0,0,0,0,0,3.98578978734303,5.2759920463704,7.31309207202727,6.11979027905015,3.00047317124949,3.31530264165648,7.89868776905493,3.38894885314887,0,0,0,0,0,0,0,0,0,16.3869562704589,24.441326306702,7.95042352778054,8.40104043855147,28.0004911687425,0,0,0,0,0,0,2,0
1.392733,906873,273,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.805194,0,0,3.4878887705613,0,4.31446924124254,6.09635101596242,7.16940709969771,5.56104197215992,2.88460839856543,3.3511229258928,6.57429201547263,4.46190765874566,0,0,0,0,0,0,0,0,0,18.3119520871505,27.2027136323547,8.38881038069877,8.4103287357093,37.1773828854719,0,0,0,0,0,0,0,0
2.660748,905984,291,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3.45799065825659,0,0,0,0,0,0,0,4.5111449198991,5.81568202380265,8.39966483722318,5.89401432462381,2.92677979737858,2.99198515540894,6.40151614461288,3.37384300038911,0,0,0,0,0,0,0,0,0,15.3405999163454,25.8174674491244,9.48126713446282,10.0835988332021,48.3356184871548,0,0,0,0,27.6975415699039,0,0,0
2.079123,906746,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61388046327407,5.56851871321665,7.42848354257656,6.22639318910916,2.91780338493945,4.34747650400036,7.44615423749058,3.94207092524646,0,0,0,0,0,0,0,0,0,12.3570287883853,25.2224367508273,8.15658603554459,8.64083157724992,40.7622208626726,0,0,0,0,0,0,0,0
1.768238,907279,1242,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.67547846080975,5.1029549558471,7.95412338138737,6.46669524653114,2.9427461556251,3.58837968086035,6.38516650581023,4.54750407516933,0,0,0,0,0,0,0,0,0,18.4409656747876,21.5741653107616,8.45049675885535,8.32691395231751,34.6809344166698,0,0,0,0,0,0,1,0
2.526811,1240168,1219,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861979,0,3.06970241866788,0,0,0,0,0,0,0,3.83241909716719,4.9133488654912,7.73130775199127,5.87394673475381,2.97870926786303,3.51749742244724,7.83836509638977,4.26042916958816,0,0,0,0,0,0,0,0,0,21.9614576952957,24.992903069861,8.64162771795388,8.77891329187248,38.6890393873051,0,0,0,0,0,0,0,0
2.965351,905985,1061,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14776502398602,5.19059445187877,8.44675385265678,6.05407381005104,2.96237172791625,3.25809972041506,6.37368946036814,3.11690510134377,0,0,0,0,0,0,0,0,0,20.6940611971853,21.6296769249999,8.59086859779322,8.81036707537158,51.387067893097,0,0,0,0,0,0,0,0
5.237016,687588,1025,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94762378410549,5.0656054894571,7.84097336022207,6.49196411710033,2.84898014163621,3.93718399579361,7.12723427564736,4.89334580418903,0,0,0,0,0,0,0,0,0,21.3908990235889,27.0470084016015,7.87329978001097,8.2570608887304,35.7315936437193,0,0,21.2832609729067,0,0,1,1,0
4.308696,683667,292,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.93916886687188,4.92386806709364,7.70581270649807,5.90986815712119,2.98775391982766,3.93123675013184,6.09229095559818,4.24123605899989,0,0,0,0,0,0,0,0,0,20.1903039075853,25.5354939362393,8.77261101000909,8.59892628427889,31.7770487864216,0,42.7063406477118,0,0,0,0,0,0
