IC50,Cancer,Drug,From_Sanger,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_826,Fingerprint_825,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_798,Fingerprint_797,Fingerprint_791,Fingerprint_784,Fingerprint_779,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_704,Fingerprint_698,Fingerprint_697,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_672,Fingerprint_667,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_650,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_576,GO_0090263,EXP_TRPM6,EXP_COQ8A,EXP_EIF2AK2,EXP_MAP2K5,PKA_140_POL_X_Fingerprint_646,PKA_252_ASA_X_Fingerprint_576,PKA_265_ASA_X_Fingerprint_659,PKA_265_CSV_X_Fingerprint_659,PKA_265_EXP_X_Fingerprint_659,PKA_265_HYD_X_Fingerprint_659,PKA_265_X_Fingerprint_659,EXP_ABL1_X_EXP_WASF1,EXP_BMP2K_X_EXP_NUMB,EXP_BMP2K_X_EXP_RALBP1,EXP_GRK2_X_EXP_OR5AC2,EXP_GRK2_X_EXP_OR6A2,EXP_GRK2_X_EXP_P2RY11,EXP_PHKG2_X_EXP_PHKA1,EXP_STK25_X_EXP_PDCD10
5.218842,906797,292,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,2.83165926581326,4.23557620248215,8.08269163838706,4.68313633393443,0,0,0,0,0,0,0,28.794491589155,24.4127772133692,36.9744442317513,10.1404568886929,10.2801710537379,12.2719553853394,30.7701272419518,53.942528787327
0.69908,907312,1038,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,2.90357534276824,4.01028037483548,7.25935083218583,4.2715280032859,0,0,0,0,0,0,0,20.705490251046,28.9176110218959,37.3707144548878,13.5064392329183,11.322134542802,16.5464359248355,30.3554692801633,53.5689839363868
3.288677,907312,1013,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,2.90357534276824,4.01028037483548,7.25935083218583,4.2715280032859,0,-18.1,0,0,0,0,0,20.705490251046,28.9176110218959,37.3707144548878,13.5064392329183,11.322134542802,16.5464359248355,30.3554692801633,53.5689839363868
5.285912,907312,230,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.90357534276824,4.01028037483548,7.25935083218583,4.2715280032859,0,-18.1,0,0,0,0,0,20.705490251046,28.9176110218959,37.3707144548878,13.5064392329183,11.322134542802,16.5464359248355,30.3554692801633,53.5689839363868
2.068297,724812,1161,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,3.13734965303053,3.7234969251193,7.63739197786703,4.3738987146024,0,0,0,0,0,0,0,26.0530386771916,26.1339591043492,30.2383963497073,10.5457322987099,10.079360638001,13.4198967176823,24.9565621302961,57.5593235926898
4.328392,909780,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,2.94437123535575,3.98643874263563,7.95473753932109,3.91951637180053,0,0,0,0,0,0,0,26.1566790105482,25.9403413069839,34.1381517808016,10.5923110192076,11.2043757962864,12.7595898670883,28.5189169392862,55.0946628290739
0.352531,687452,219,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,2.83384320156519,3.97569808291723,7.07328342449531,4.24759167292523,0,0,0,0,0,0,0,35.8021687843647,23.0332073303803,31.9937367413602,11.3605724075325,11.6010951328769,16.0385207361644,26.1087417678734,60.5485771797944
5.259346,906797,229,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2.83165926581326,4.23557620248215,8.08269163838706,4.68313633393443,0,0,0,0,0,0,0,28.794491589155,24.4127772133692,36.9744442317513,10.1404568886929,10.2801710537379,12.2719553853394,30.7701272419518,53.942528787327
-2.261993,753552,282,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,2.9205399335914,4.07154099212737,7.66433206069086,4.20726204046454,0,0,-2.1,0.789683,3.05652870642938,0.23,1,21.9171769204978,24.3457205620731,37.821578933625,10.587801434127,10.8232710335971,14.189901935336,28.8607777439445,54.4695042749583
0.819866,753552,1054,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,2.9205399335914,4.07154099212737,7.66433206069086,4.20726204046454,0,0,0,0,0,0,0,21.9171769204978,24.3457205620731,37.821578933625,10.587801434127,10.8232710335971,14.189901935336,28.8607777439445,54.4695042749583
