IC50,Cancer,Drug,From_Sanger,Fingerprint_834,Fingerprint_824,Fingerprint_822,Fingerprint_819,Fingerprint_813,Fingerprint_797,Fingerprint_776,Fingerprint_712,Fingerprint_710,Fingerprint_698,Fingerprint_697,Fingerprint_685,Fingerprint_677,Fingerprint_672,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_629,Fingerprint_617,Fingerprint_611,REC_R_HSA_141409,REC_R_HSA_141409_EXP,GO_0030878_EXP,CLS_average_ploidy,PKA_105_CSV_X_Fingerprint_826,PKA_162_CSV_X_Fingerprint_644,PKA_197_ENG_X_Fingerprint_818,PKA_217_ASA_X_Fingerprint_826,EXP_NEK6_X_EXP_NUP37,EXP_NEK6_X_EXP_TOP2A,EXP_STK16_X_EXP_PEPD,GO_0043114_X_GO_0045785,Predicted IC50,Validation
3.64169,910691,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.2577327546,0,0,0,0,32.241780835,41.709816752,45.896881096,0,3.6545770706,2
0.799783,930082,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.9632637271,2.0219194553,0,0,0,0,44.207092676,52.82105596,36.521333326,1,1.5374130605,4
3.972882,910691,5,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,2.2577327546,0,0,0,0,32.241780835,41.709816752,45.896881096,0,3.3603850553,2
3.534226,924187,5,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,4.7143561173,0,2.6533508085,0,0,0,0,44.944235549,53.031920022,66.260411153,0,3.7268130757,4
0.830005,930082,5,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,6.9632637271,2.0219194553,0,0,0,0,44.207092676,52.82105596,36.521333326,1,1.4115078132,8
3.539677,910691,6,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,2.2577327546,0,0,0,0,32.241780835,41.709816752,45.896881096,0,2.6622393648,5
3.297155,924187,6,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,4.7143561173,0,2.6533508085,0,0,0,0,44.944235549,53.031920022,66.260411153,0,3.5883939698,2
2.336064,930082,6,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,6.9632637271,2.0219194553,0,0,0,0,44.207092676,52.82105596,36.521333326,1,2.0616655351,10
3.380056,910691,29,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2.2577327546,0,0,0,0,32.241780835,41.709816752,45.896881096,0,3.4313073526,8
0.8642,930082,29,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,6.9632637271,2.0219194553,0,0,0,0,44.207092676,52.82105596,36.521333326,1,1.2913932427,5
2.420028,910691,30,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,2.2577327546,0,0,0,0,32.241780835,41.709816752,45.896881096,0,2.6853067527,2
2.336796,930082,30,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,6.9632637271,2.0219194553,0,0,0,0,44.207092676,52.82105596,36.521333326,1,2.4862861268,1
0.886639,910691,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2.2577327546,0,0.808713,0,0,32.241780835,41.709816752,45.896881096,0,0.9784817254,6
2.583061,924187,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,4.7143561173,0,2.6533508085,0,0,0,0,44.944235549,53.031920022,66.260411153,0,3.4355954023,7
-1.936889,930082,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,6.9632637271,2.0219194553,0,0,0,0,44.207092676,52.82105596,36.521333326,1,1.3385215711,9
3.125124,910691,34,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2.2577327546,0,0,0,0,32.241780835,41.709816752,45.896881096,0,4.2565042737,5
4.187025,924187,34,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,4.7143561173,0,2.6533508085,0,0,0,0,44.944235549,53.031920022,66.260411153,0,4.2504218764,6
2.336243,930082,34,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,6.9632637271,2.0219194553,0,0,0,0,44.207092676,52.82105596,36.521333326,1,4.256397182,5
2.334775,910691,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.2577327546,0,0,0,0,32.241780835,41.709816752,45.896881096,0,1.9824307676,9
2.30349,924187,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4.7143561173,0,2.6533508085,0,0,0,0,44.944235549,53.031920022,66.260411153,0,2.2097284762,2
-0.686207,930082,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6.9632637271,2.0219194553,0,0,0,39.7,44.207092676,52.82105596,36.521333326,1,-0.565202081,4
3.110071,910691,37,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2.2577327546,0,0.808713,0,0,32.241780835,41.709816752,45.896881096,0,3.165568128,3
3.755156,924187,37,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,4.7143561173,0,2.6533508085,0,0,0,0,44.944235549,53.031920022,66.260411153,0,4.3349594346,10
0.83085,930082,37,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,6.9632637271,2.0219194553,0,0,0,0,44.207092676,52.82105596,36.521333326,1,0.9264172107,2
3.479497,910691,38,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2.2577327546,0,0,0,0,32.241780835,41.709816752,45.896881096,0,3.1560427786,7
1.699622,924187,38,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,4.7143561173,0,2.6533508085,0,0,0,0,44.944235549,53.031920022,66.260411153,0,3.1614391016,5
0.562325,930082,38,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,6.9632637271,2.0219194553,0,0,0,39.7,44.207092676,52.82105596,36.521333326,1,0.653461301,7
1.648891,910691,51,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2.2577327546,0,0,0,0,32.241780835,41.709816752,45.896881096,0,1.6918592599,2
-2.316504,924187,51,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,4.7143561173,0,2.6533508085,0,0,0,0,44.944235549,53.031920022,66.260411153,0,-2.267391713,4
-2.800373,930082,51,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,6.9632637271,2.0219194553,0,0,0,0,44.207092676,52.82105596,36.521333326,1,-2.773068414,5
2.545646,910691,52,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2.2577327546,0,0,0,0,32.241780835,41.709816752,45.896881096,0,4.2186841678,1
3.190022,924187,52,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,4.7143561173,0,2.6533508085,0,0,0,0,44.944235549,53.031920022,66.260411153,0,4.2023485335,5
0.618159,930082,52,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,6.9632637271,2.0219194553,0,0,0,0,44.207092676,52.82105596,36.521333326,1,2.6859095443,3
