IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_791,Fingerprint_785,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_705,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_696,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_667,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_161,PKA_161_CHA,PKA_161_ENG,PKA_161_EXP,PKA_226,DOM_PI3_PI4_kinase,MUT_ULK4,CNV_PTK2_gain,REC_R_HSA_176298_EXP,PWY_R_HSA_193648_CSV,PWY_R_HSA_373755,PWY_R_HSA_6804115,PWY_R_HSA_68877_CSV,PWY_R_HSA_73894_EXP,GO_0002053,GO_0002053_EXP,GO_0003351,GO_0007283_CSV,GO_0032436_CSV,GO_0042060,GO_0043524,GO_0048010,GO_0048813,EXP_EPHB6,EXP_MAP3K12,EXP_TYK2,EXP_PRKCG,EXP_PAK3,EXP_SIK2,EXP_PASK,EXP_WNK4,PKA_104_ENG_X_Fingerprint_818,PKA_104_VOL_X_Fingerprint_644,PKA_105_POL_X_Fingerprint_791,PKA_115_EXP_X_Fingerprint_643,PKA_115_HYD_X_Fingerprint_576,PKA_124_POL_X_Fingerprint_791,PKA_145_ASA_X_Fingerprint_696,PKA_145_VOL_X_Fingerprint_696,PKA_157_HYD_X_Fingerprint_696,PKA_162_VOL_X_Fingerprint_576,PKA_192_ASA_X_Fingerprint_643,PKA_192_VOL_X_Fingerprint_643,EXP_GRK3_X_EXP_OR5M9,EXP_RIPK3_X_EXP_FADD,EXP_RIPK3_X_EXP_NFKBIA,EXP_SYK_X_EXP_CLEC7A,EXP_SYK_X_EXP_PDPN,EXP_WNK2_X_EXP_SLC12A3,REC_R_HSA_141409_EXP_X_REC_R_HSA_2316434_EXP,PWY_R_HSA_109606_EXP_X_PWY_R_HSA_418594_EXP,PWY_R_HSA_162906_X_PWY_R_HSA_69620,PWY_R_HSA_2029480_X_PWY_R_HSA_3700989,PWY_R_HSA_2187338_EXP_X_PWY_R_HSA_69273_EXP,PWY_R_HSA_2187338_X_PWY_R_HSA_382551,GO_0007411_X_GO_0034446,GO_0009615_EXP_X_GO_0070373_EXP,GO_0021766_X_GO_0030866,GO_0030155_X_GO_1901796,Predicted IC50,Validation
3.189446,749711,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2249086224,3.105042331,9.0040724196,3.280185472,3.617051823,4.3351031059,4.4042592037,2.9567255508,0,0,0,0,0,0,0,0,0,0,0,0,12.442207534,25.957367165,23.867836003,21.462135796,11.062178685,20.942342254,0,0,0,0,0,0,0,0,0,0,3.0053666162,9
1.430802,749715,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0489007833,2.9395998904,8.4648590409,3.302863538,3.3254243993,4.3914341894,4.2790178663,3.0489435542,0,0,0,0,0,0,0,0,0,0,0,0,11.815020902,23.734558574,21.742239263,14.018097268,13.947397802,21.621543362,0,0,0,0,0,0,0,0,0,0,3.6909113529,7
3.390603,749716,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7522302436,3.3734940905,8.1319606904,3.3966364248,3.6788421359,3.7941087045,4.2601794475,3.1468346177,0,0,0,0,0,0,0,0,0,0,0,0,11.326684088,24.221754115,27.695483137,11.232768271,11.014863638,16.298043504,0,0,0,0,0,0,0,0,0,0,3.5119071858,7
3.411709,906812,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.178430696,0,0,0,0,0,0,0,2,0,3.8546026547,3.4823429827,7.0105596892,3.2122513846,3.1417491662,4.3741028047,4.5092482412,2.8992583303,0,0,0,0,0,0,0,0,0,0,0,0,10.644270948,21.417846284,24.261607854,8.9998635431,8.9688419478,14.003953785,0,0,0,0,0,0,0,0,0,0,3.5549847194,8
2.592616,906844,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.9660404784,3.9935349319,8.0326658835,3.1154436506,3.1549497654,4.1654271861,5.0176717292,2.8749949746,0,0,0,0,0,0,0,0,0,22,0,0,19.38413151,18.992536448,20.96758984,28.041158397,29.80864929,16.516505088,0,0,0,0,0,0,1,0,0,0,2.4493307789,5
2.677979,906862,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.1549449795,0,0,0,0,0,1,0,1,0,3.2220061363,3.0720914693,6.7991233014,3.2486245769,3.3155984591,4.1194587757,4.7189066391,3.2351098269,0,0,0,0,0,0,0,0,0,0,0,0,13.420593025,21.608045354,24.543784331,17.371310825,15.563273634,13.450641312,21.119418433,0,3,0,0,0,0,0,0,1,2.3800890098,9
2.835325,908151,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,3.2214327207,2.9426406728,7.2323673931,3.3541533356,3.1014435663,4.3880125001,4.1483378576,3.1867768347,0,0,0,0,0,0,0,0,0,0,0,0,16.482860782,21.657687404,25.536629408,14.293288019,14.269412847,10.196397714,0,0,0,0,0,0,0,0,0,0,3.047990983,2
2.782158,909256,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.9567786481,2.9840274988,8.4997530615,3.2115009656,3.2404682811,4.173155721,4.958213665,2.8704571751,0,0,0,0,0,0,0,0,0,0,0,0,16.734921873,22.042506029,19.971393929,21.866113676,19.594459609,13.424871261,16.780027177,0,1,0,0,0,1,24.492368045,0,0,1.4139358141,1
3.470147,910910,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.746166,0,0,0,11.824999272,0,0,0,0,0,0,0,0,0,3.0779615408,3.5977587079,7.5674346613,3.299945304,2.9819082181,4.4682331975,3.8940011801,3.0678321449,0,0,0,0,0,0,0,0,0,0,0,0,9.6881194057,25.703774807,33.59508054,11.103853975,11.095313566,11.446908322,0,11.141596442,0,0,14.835146662,2,0,0,0,0,3.4624430439,10
3.393174,910948,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.706277,0,1,1,1,0,5.9246733677,4.0908234016,7.4849890305,3.247984012,3.1769013349,4.3184694508,4.6071314728,3.1649797746,0,0,0,0,0,0,0,0,0,0,0,0,10.77172347,21.237560287,26.497848268,9.7646594824,9.5132298121,10.699836459,0,0,0,0,0,0,0,0,0,0,3.1356129982,5
3.106225,946359,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5332953274,1,4.1577292737,0,0,0,1,1,3,1,4.0776189235,3.1851297775,8.8942901558,3.3987970633,3.4189612907,4.1787118168,4.5830480231,3.136024292,0,0,0,3.0425144615,0.65,0,0,0,0,0,0,0,9.4418107082,24.245172292,25.954932399,16.162280349,15.090249227,12.812561837,0,0,0,1,0,0,0,0,0,1,3.0183770965,7
2.697389,749711,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2249086224,3.105042331,9.0040724196,3.280185472,3.617051823,4.3351031059,4.4042592037,2.9567255508,0,0,0,0,0,0,0,0,0,0,0,0,12.442207534,25.957367165,23.867836003,21.462135796,11.062178685,20.942342254,0,0,0,0,0,0,0,0,0,0,3.7010402866,2
3.826353,749715,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0489007833,2.9395998904,8.4648590409,3.302863538,3.3254243993,4.3914341894,4.2790178663,3.0489435542,0,0,0,0,0,0,0,0,0,0,0,0,11.815020902,23.734558574,21.742239263,14.018097268,13.947397802,21.621543362,0,0,0,0,0,0,0,0,0,0,4.3576002801,2
