IC50_GDSC2,Cancer,Drug,From_Sanger,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_797,Fingerprint_791,Fingerprint_784,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_696,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_674,Fingerprint_673,Fingerprint_669,Fingerprint_667,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_650,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_576,Fingerprint_363,SDOM_subdomainXI_EXP,PWY_R_HSA_2029480,PWY_R_HSA_449147,GO_0038083,FAM_Other_CSV,EXP_TRIM66,EXP_STKLD1,EXP_KDR_X_EXP_RHOA,EXP_KDR_X_EXP_RNF41,EXP_KDR_X_EXP_SH3GL2,EXP_KDR_X_EXP_WASF1,EXP_MAP3K9_X_EXP_RAC1,EXP_OXSR1_X_EXP_SLC22A14,EXP_RPS6KB1_X_EXP_EIF4B,EXP_RPS6KB1_X_EXP_MYC,EXP_TAF1_X_EXP_BRPF3,EXP_TAF1_X_EXP_HIST1H2BC,EXP_TAF1_X_EXP_SMARCC1,EXP_TAF1_X_EXP_TEX10,EXP_TAF1_X_EXP_WDR5,PWY_R_HSA_166058_X_PWY_R_HSA_397014,PWY_R_HSA_168138_X_PWY_R_HSA_397014,PWY_R_HSA_195258_X_PWY_R_HSA_2454202,GO_0006397_EXP_X_GO_0018105_EXP
3.817925,724870,1010,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3.53811188193939,3.30278411230482,36.412853238068,15.7650586631526,10.4842593130847,16.4011467866358,32.9899728027358,19.7580106920537,43.8532918501654,56.9101218143506,24.0521239439307,15.6403513293888,38.418214313292,37.6777066584426,38.7406972893917,0,0,0,0
3.675328,753624,1010,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,4.31590134541978,0,2,0,0,4.03370742305992,2.99775962080592,36.1292478889341,14.8756549672433,9.96760615966087,13.6440165735738,35.3382909969271,22.5243339046587,48.8091114988377,67.6642638775771,21.4399846662854,15.6524604297514,36.2410293632539,29.5650077444165,32.6038543894007,2,2,0,0
3.431798,906693,1010,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,5.19228153409763,0,0,0,0,3.9376808436901,3.05699090194113,36.2908552564724,15.8134676775985,10.5431478599302,17.3041778670708,35.9982336717051,18.493601171471,45.4371040221332,55.5254049017802,24.0603024474862,18.5625731612011,37.5190259745649,35.0555253013735,39.0515954615533,0,0,0,0
2.502457,906821,1010,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.49755314111219,3.01832670768545,35.403190479519,16.3390524448473,10.1747000113377,14.3177164383667,34.0841247232485,16.8166858314002,49.6003825098002,63.404909482145,24.7897062943776,15.2589974506629,32.3742728106865,27.435837128759,28.4278832533455,0,0,0,0
4.577408,907285,1010,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,3.18204027990222,0,1,0,0,4.32436020404577,3.20691475957349,37.4229615098313,16.2984661088744,10.1858566789973,15.3947222868546,40.5204581797187,21.1093665214757,51.0841516644366,69.337612646436,22.6476561422649,17.8662535104811,40.6052357606296,35.4697114716208,36.8728041476614,0,0,0,0
2.63777,907286,1010,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,5.04250706049477,0,0,0,0,5.51874304068015,3.16850195169788,34.3729342121491,15.1080415805795,9.84662717203621,15.7589343364376,32.4920355680579,23.3922378102795,66.3973867304924,84.369887678621,28.1134036732407,17.4343752763112,47.0496699565702,38.6040811353107,42.6565542670181,0,0,0,15.8929139550312
4.755185,909904,1010,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,4.24586007105495,3.40680779749026,30.6362537065881,13.3841175196847,8.69360884310229,15.2230411641986,36.1882351066672,16.0181122304176,50.4172145957369,63.8465670654691,24.1656437806083,14.2787623139388,36.9024406142962,33.7690076946965,37.6366776850613,4,4,1,0
3.945584,910546,1010,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,3.41451199202489,0,1,0,1.303464,5.15449261293995,2.94927202296498,43.4605517153151,21.4373056151806,11.2776998768704,23.1908626637746,30.192227155483,20.6335309713396,61.4065536624822,82.290080626063,30.7578789168221,15.4033655232528,46.3993872090219,41.6515084107761,42.2311078270688,0,0,0,23.3661928589403
6.063577,910907,1010,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,2,0,3.11246355080926,3.37764033266489,34.5998010568799,14.2282401255011,9.20412845703352,15.0947397612877,34.3762293847346,19.4038724658092,44.9902831532334,58.0979621742809,23.7604440432447,12.3663977715353,31.7196166110735,28.2638654881255,30.2318011968749,2,2,0,0
4.455276,925347,1010,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.42509141977471,3.06663780497862,35.0791712888289,14.8305549964157,9.26481891368143,18.3662108563205,38.0511945214353,20.6759100668868,54.9523983110221,69.1244361111291,26.5909064420905,14.4107245627776,36.8309470606895,30.3900764131662,31.4062253909023,0,0,0,0
