IC50_GDSC2,Cancer,Drug,From_Sanger,Fingerprint_834,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_819,Fingerprint_818,Fingerprint_803,Fingerprint_799,Fingerprint_797,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_697,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_672,Fingerprint_647,Fingerprint_646,Fingerprint_635,Fingerprint_629,Fingerprint_611,MOT_2D_linker_EXP,SDOM_subdomainI_CSV,SDOM_subdomainV_CSV,EXP_BTK,EXP_CDKL4,EXP_BTK_X_EXP_CD79A,EXP_MARK3_X_EXP_IQGAP1,EXP_MARK3_X_EXP_PPP2CB,EXP_MET_X_EXP_CBLC,EXP_MET_X_EXP_FGF12,EXP_MET_X_EXP_PDGFA,EXP_MET_X_EXP_RAPGEF1,EXP_PTK6_X_EXP_CCND1
4.308046,908150,1010,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2.83303254608064,2.89303313119386,8.23884351706306,61.5538234080144,78.2453249490721,13.711035484569,15.223651682235,27.3591577733483,18.4863902442296,20.7765864257371
1.599978,908152,1010,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2.68719481874946,3.0193455190215,8.22125452705499,62.9608183836146,73.2508223710013,19.610997219121,21.9961360231307,37.1688224665599,25.892290024213,26.3504021084922
4.952221,908470,1010,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2.85858856546691,3.06178821649857,8.30129783559348,56.9808713555309,62.9553310725632,22.6772247024525,25.5299749866556,42.6792424803131,30.8506252392194,27.2763622681056
2.991492,1240141,1010,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,7.97565681193086,0,1.523447,2.90427032362878,3.10311751614494,8.08740764021812,63.7639846752582,79.2409941313981,21.5241185205822,16.4480859194939,31.4958290556346,20.9910153277211,31.3192384404535
4.675417,1290808,1010,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2.75359748527721,3.0833104751744,7.53846443855012,64.5214955240012,80.7239395076947,14.3728414107479,13.6585191123167,31.6812337478125,19.5313025442164,25.374180267657
4.684806,1290810,1010,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,7.81585292288992,0,0.774333,2.88765711776581,3.11008003336468,8.54442534565946,63.0887368904115,73.8900494551553,15.2975005598161,24.6308983204163,43.5484493752581,27.5079759623072,22.9651919708354
3.857697,1290813,1010,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.780554,0,2.70336677937281,2.88154901289178,7.75624165911008,79.9784787868165,86.5447344052806,10.2037075788388,10.9794775542325,27.220654411641,14.2105719803042,20.6990082233709
3.49172,908150,1013,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,2.83303254608064,2.89303313119386,8.23884351706306,61.5538234080144,78.2453249490721,13.711035484569,15.223651682235,27.3591577733483,18.4863902442296,20.7765864257371
5.158174,908152,1013,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,2.68719481874946,3.0193455190215,8.22125452705499,62.9608183836146,73.2508223710013,19.610997219121,21.9961360231307,37.1688224665599,25.892290024213,26.3504021084922
4.51551,908470,1013,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,2.85858856546691,3.06178821649857,8.30129783559348,56.9808713555309,62.9553310725632,22.6772247024525,25.5299749866556,42.6792424803131,30.8506252392194,27.2763622681056
