IC50,Cancer,Drug,PKA_163_ASA_X_Fingerprint_698,PKA_206_ASA_X_Fingerprint_576,PKA_206_ASA_X_Fingerprint_644,PKA_236_ENG_X_Fingerprint_797,PKA_236_X_Fingerprint_644,PKA_236_X_Fingerprint_712,PKA_236_X_Fingerprint_797,PKA_283_B62_X_Fingerprint_644,PKA_293_ASA_X_Fingerprint_673,PKA_293_EXP_X_Fingerprint_646,PKA_293_X_Fingerprint_646,PKA_294_ASA_X_Fingerprint_576,PKA_294_B62_X_Fingerprint_576,PKA_294_CHA_X_Fingerprint_576,PKA_294_C_EXP_X_Fingerprint_576,PKA_294_ENG_X_Fingerprint_576,EXP_ABL1_X_EXP_CAP1,EXP_ABL1_X_EXP_NBN,EXP_TAF1_X_EXP_BAX,EXP_TAF1_X_EXP_HIST1H4C,EXP_TAF1_X_EXP_TEX10
-0.048492,906869,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.098534151,37.115362129,42.420785421,66.622929324,35.514215181
1.536918,908444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.930100878,42.90835107,40.810785293,63.746206624,38.826974529
3.406585,908445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.338126726,33.139720797,26.695068476,50.430030922,28.090753234
2.370697,908446,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.872886897,33.559353413,34.70561534,61.091528904,30.795253009
3.220978,909697,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.20245406,49.357422538,42.889500888,61.256218656,35.459634529
3.773537,909711,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.263732772,26.843709991,26.304653813,31.306854734,35.936204128
2.855382,1322224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.024701982,37.278023019,35.889136236,75.062493292,35.506406755
4.769073,906869,5,0,0,0,0,0,0,0,0,34.8,9.2206113338,1,0,0,0,0,0,50.098534151,37.115362129,42.420785421,66.622929324,35.514215181
2.648886,908444,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.930100878,42.90835107,40.810785293,63.746206624,38.826974529
4.895981,908445,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.338126726,33.139720797,26.695068476,50.430030922,28.090753234
0.545129,908446,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.872886897,33.559353413,34.70561534,61.091528904,30.795253009
3.316042,909697,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.20245406,49.357422538,42.889500888,61.256218656,35.459634529
3.55016,909711,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.263732772,26.843709991,26.304653813,31.306854734,35.936204128
0.79734,1322224,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.024701982,37.278023019,35.889136236,75.062493292,35.506406755
3.569257,906869,6,0,0,0,0,0,0,0,0,34.8,9.2206113338,1,0,0,0,0,0,50.098534151,37.115362129,42.420785421,66.622929324,35.514215181
2.269952,908444,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.930100878,42.90835107,40.810785293,63.746206624,38.826974529
-2.940466,908445,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.338126726,33.139720797,26.695068476,50.430030922,28.090753234
2.67612,908446,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.872886897,33.559353413,34.70561534,61.091528904,30.795253009
3.66487,909697,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.20245406,49.357422538,42.889500888,61.256218656,35.459634529
2.839489,1322224,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.024701982,37.278023019,35.889136236,75.062493292,35.506406755
3.158164,906869,29,0,0,0,0,0,0,0,0,34.8,9.2206113338,1,0,0,0,0,0,50.098534151,37.115362129,42.420785421,66.622929324,35.514215181
-0.79915,908444,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.930100878,42.90835107,40.810785293,63.746206624,38.826974529
1.088489,908445,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.338126726,33.139720797,26.695068476,50.430030922,28.090753234
1.904561,908446,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.872886897,33.559353413,34.70561534,61.091528904,30.795253009
2.421265,909697,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.20245406,49.357422538,42.889500888,61.256218656,35.459634529
4.456771,909711,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.263732772,26.843709991,26.304653813,31.306854734,35.936204128
2.082291,1322224,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.024701982,37.278023019,35.889136236,75.062493292,35.506406755
1.948574,906869,30,0,0,0,0,0,0,0,0,0,9.2206113338,1,0,0,0,0,0,50.098534151,37.115362129,42.420785421,66.622929324,35.514215181
0.749065,908444,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.930100878,42.90835107,40.810785293,63.746206624,38.826974529
3.024171,908445,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.338126726,33.139720797,26.695068476,50.430030922,28.090753234
1.623893,908446,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.872886897,33.559353413,34.70561534,61.091528904,30.795253009
