IC50_GDSC2,Cancer,Drug,From_Sanger,Fingerprint_834,Fingerprint_830,Fingerprint_826,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_797,Fingerprint_791,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_709,Fingerprint_698,Fingerprint_697,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_667,Fingerprint_659,Fingerprint_658,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_629,Fingerprint_617,Fingerprint_611,Fingerprint_363,GO_0000278,GO_0016477,SFAM_RIPK,FAM_TKL_CSV,PKA_172_ASA_X_Fingerprint_644,PKA_280_CSV_X_Fingerprint_644,EXP_COQ8A_X_EXP_PDSS1,EXP_PRKAA2_X_EXP_TP53,EXP_SRC_X_EXP_ARRB2,EXP_SRC_X_EXP_CASP8,EXP_SRC_X_EXP_FN1,EXP_STK11_X_EXP_ATIC,GO_0032212_X_GO_0043066
4.46731,907071,1010,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0412442357075,17.0605614809722,25.7249399494726,19.8032509784236,55.1289214225682,46.6357880789373,0
3.843367,909719,1010,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.751916,0,0,29.8364620176592,14.5882922223553,17.1339060799618,21.8726327902975,39.7090516387708,42.9700988800166,0
4.427986,909736,1010,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3784137400438,13.1993437836992,16.1067068932171,20.4361498023794,48.4260001289101,34.8425825488028,0
4.200499,909737,1010,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24.8005566853401,15.1186879462202,17.943254587388,21.0358088438446,44.7435529622754,44.092020956703,0
2.55089,909738,1010,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27.9770228546362,13.3812345360829,24.8854133525909,24.7044793821348,39.5909587935236,43.3270220013339,0
4.689666,910850,1010,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.542071,0,0,48.4128793595357,19.382278658715,37.9938313906041,31.3284458376951,75.63716042107,50.3019012566922,1
3.954365,1240159,1010,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.545751,0,0,38.9830906819384,15.3271073036045,32.0334184456622,33.4347506319688,41.5519177539883,49.8027839634687,0
4.842568,1240160,1010,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32.839071169111,17.5986609571519,26.6399471840293,21.1950962579293,53.0029066176881,40.5448456633515,0
3.961233,1240216,1010,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0.824209,0,0,24.5958902834875,14.3499567274337,17.3232138007502,16.7918714115379,44.0656941150577,39.3402250504382,0
4.583477,1298146,1010,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1.351098,0,0,51.964453804189,21.9310079956953,34.8887516057976,29.7752787583631,68.934333257589,52.9231732817278,2
2.953256,1298151,1010,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35.6541141246205,11.0772901220891,21.5230762670117,22.1338943178078,17.0380662819478,38.5932294328046,0
4.991328,907071,1013,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,37.0412442357075,17.0605614809722,25.7249399494726,19.8032509784236,55.1289214225682,46.6357880789373,0
0.94305,909719,1013,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0.751916,0,0,29.8364620176592,14.5882922223553,17.1339060799618,21.8726327902975,39.7090516387708,42.9700988800166,0
5.451523,909736,1013,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,24.3784137400438,13.1993437836992,16.1067068932171,20.4361498023794,48.4260001289101,34.8425825488028,0
3.551492,909738,1013,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,27.9770228546362,13.3812345360829,24.8854133525909,24.7044793821348,39.5909587935236,43.3270220013339,0
6.144932,910850,1013,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1.542071,0,0,48.4128793595357,19.382278658715,37.9938313906041,31.3284458376951,75.63716042107,50.3019012566922,1
2.919991,1240159,1013,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0.545751,0,0,38.9830906819384,15.3271073036045,32.0334184456622,33.4347506319688,41.5519177539883,49.8027839634687,0
5.599839,1240160,1013,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,32.839071169111,17.5986609571519,26.6399471840293,21.1950962579293,53.0029066176881,40.5448456633515,0
5.221459,1240216,1013,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0.824209,0,0,24.5958902834875,14.3499567274337,17.3232138007502,16.7918714115379,44.0656941150577,39.3402250504382,0
4.65654,1298146,1013,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,2,1,1.351098,0,0,51.964453804189,21.9310079956953,34.8887516057976,29.7752787583631,68.934333257589,52.9231732817278,2
4.475154,1298151,1013,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,35.6541141246205,11.0772901220891,21.5230762670117,22.1338943178078,17.0380662819478,38.5932294328046,0
3.282535,907071,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,37.0412442357075,17.0605614809722,25.7249399494726,19.8032509784236,55.1289214225682,46.6357880789373,0
2.344643,909719,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0.751916,0,0,29.8364620176592,14.5882922223553,17.1339060799618,21.8726327902975,39.7090516387708,42.9700988800166,0
0.779522,909736,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,24.3784137400438,13.1993437836992,16.1067068932171,20.4361498023794,48.4260001289101,34.8425825488028,0
0.368707,909737,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,24.8005566853401,15.1186879462202,17.943254587388,21.0358088438446,44.7435529622754,44.092020956703,0
1.797636,909738,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,27.9770228546362,13.3812345360829,24.8854133525909,24.7044793821348,39.5909587935236,43.3270220013339,0
3.220545,910850,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1.542071,0,0,48.4128793595357,19.382278658715,37.9938313906041,31.3284458376951,75.63716042107,50.3019012566922,1
1.133843,1240159,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0.545751,0,0,38.9830906819384,15.3271073036045,32.0334184456622,33.4347506319688,41.5519177539883,49.8027839634687,0
3.017069,1240160,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,32.839071169111,17.5986609571519,26.6399471840293,21.1950962579293,53.0029066176881,40.5448456633515,0
0.619316,1240216,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0.824209,0,0,24.5958902834875,14.3499567274337,17.3232138007502,16.7918714115379,44.0656941150577,39.3402250504382,0
1.200896,1298146,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,2,1,1.351098,0,0,51.964453804189,21.9310079956953,34.8887516057976,29.7752787583631,68.934333257589,52.9231732817278,2
-0.147105,1298151,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,35.6541141246205,11.0772901220891,21.5230762670117,22.1338943178078,17.0380662819478,38.5932294328046,0
2.146065,907057,1046,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.774233,0,0,26.4677302234902,14.2393020590971,20.1599386210322,19.5962526050237,20.258527142914,43.203902664989,0
6.216041,907071,1046,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37.0412442357075,17.0605614809722,25.7249399494726,19.8032509784236,55.1289214225682,46.6357880789373,0
3.735132,909719,1046,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.751916,0,0,29.8364620176592,14.5882922223553,17.1339060799618,21.8726327902975,39.7090516387708,42.9700988800166,0
3.490904,909736,1046,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24.3784137400438,13.1993437836992,16.1067068932171,20.4361498023794,48.4260001289101,34.8425825488028,0
2.585988,909737,1046,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,24.8005566853401,15.1186879462202,17.943254587388,21.0358088438446,44.7435529622754,44.092020956703,0
3.476593,909738,1046,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,27.9770228546362,13.3812345360829,24.8854133525909,24.7044793821348,39.5909587935236,43.3270220013339,0
7.042816,910850,1046,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1.542071,0,0,48.4128793595357,19.382278658715,37.9938313906041,31.3284458376951,75.63716042107,50.3019012566922,1
