IC50_GDSC2,Cancer,Drug,From_Sanger,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_801,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_791,Fingerprint_784,Fingerprint_780,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_709,Fingerprint_705,Fingerprint_698,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_679,Fingerprint_677,Fingerprint_674,Fingerprint_672,Fingerprint_669,Fingerprint_667,Fingerprint_659,Fingerprint_656,Fingerprint_650,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,MUT_MYO3A_CSV,CNV_CDK12_gain,CNV_MET_gain,PWY_R_HSA_5663205_CSV,GO_0000165_CSV,GO_0006351,GO_0060045_CSV,SFAM_BRD,EXP_FAM198A,EXP_RNASEL,EXP_DAPK1,EXP_PSKH2,EXP_BCKDK,PKA_163_ASA_X_Fingerprint_698,PKA_206_ASA_X_Fingerprint_576,PKA_206_ASA_X_Fingerprint_644,PKA_236_ENG_X_Fingerprint_797,PKA_236_X_Fingerprint_644,PKA_236_X_Fingerprint_712,PKA_236_X_Fingerprint_797,PKA_283_B62_X_Fingerprint_644,PKA_293_ASA_X_Fingerprint_673,PKA_293_EXP_X_Fingerprint_646,PKA_293_X_Fingerprint_646,PKA_294_ASA_X_Fingerprint_576,PKA_294_B62_X_Fingerprint_576,PKA_294_CHA_X_Fingerprint_576,PKA_294_C_EXP_X_Fingerprint_576,PKA_294_ENG_X_Fingerprint_576,EXP_ABL1_X_EXP_CAP1,EXP_ABL1_X_EXP_NBN,EXP_TAF1_X_EXP_BAX,EXP_TAF1_X_EXP_HIST1H4C,EXP_TAF1_X_EXP_TEX10
2.539386,906790,1010,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.78198,2,0,0,3.08035685717253,3.87007379713371,3.29516194291538,3.32200872734256,6.01142595011473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5580685457137,36.6433491074226,44.8314934527842,60.0619227755239,33.5813123002148
2.25445,906848,1010,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.800154,1,0,0,2.90183202160397,3.0850927520809,3.40694611434257,3.15997874664232,5.63678328586877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.85766401446,49.0549034234223,33.2974220643155,58.7882341293811,33.3798689276801
1.963125,906869,1010,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.735163,1,0,0,2.58632958589014,3.31849949254774,4.68747928226248,3.05820223262447,6.67370314601037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0985341505752,37.1153621286718,42.4207854214214,66.6229293244959,35.5142151813528
3.152675,907055,1010,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.858268,4,0.858268,0,2.82101627475223,3.03202455301023,3.89500169261709,2.73605978977754,6.7145016614547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.2667287234408,40.8388710918674,37.8694516834623,69.9950767976637,41.4026157740329
4.877617,907276,1010,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.86983720696979,3.06497579265453,3.28919140176914,2.82223719631332,5.21196342206613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.6975378258574,35.0330950606417,44.4722888983926,76.1831923033473,40.9143259079298
3.676661,908139,1010,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.10686185402956,3.47693184783384,4.10744594795854,3.06337140523337,5.61483754463703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2147799381063,37.3380182605365,30.6929411328818,58.2788306776193,39.4400565577607
3.455553,908444,1010,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2.68651300889443,3.461818039356,4.15994918491064,3.10060424371818,6.05390700594626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.9301008781673,42.9083510700496,40.8107852929716,63.7462066240264,38.8269745290014
3.965973,908445,1010,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3.02058505060843,4.35552000314943,4.73828942694544,3.28161240215465,5.11349446908435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.3381267261913,33.1397207971822,26.6950684757481,50.430030921925,28.0907532341189
2.977105,908446,1010,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.57773,0,2,0,0,2.78772890050614,3.56895552938397,3.94548424622594,2.98653549844622,4.56846457365093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.8728868966249,33.5593534127902,34.7056153404881,61.0915289035614,30.7952530087654
1.981501,908461,1010,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.706116,1,0,0,0,0,0,1,2.96971290149648,3.89363306939975,3.38629871671269,2.93180558402082,4.78199326968431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.7173456684109,37.3855374097767,34.3299987521063,66.3048335610748,36.1851997105976
3.444173,909697,1010,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.824029,0,0,0,2.82448280108742,3.80646735816398,4.19339722042347,2.98303707646676,5.22884474579379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.2024540598146,49.357422537583,42.8895008876601,61.2562186563042,35.4596345287732
