IC50_GDSC2,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_791,Fingerprint_785,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_705,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_696,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_667,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_161,PKA_161_CHA,PKA_161_ENG,PKA_161_EXP,PKA_226,DOM_PI3_PI4_kinase,MUT_ULK4,CNV_PTK2_gain,REC_R_HSA_176298_EXP,PWY_R_HSA_193648_CSV,PWY_R_HSA_373755,PWY_R_HSA_6804115,PWY_R_HSA_68877_CSV,PWY_R_HSA_73894_EXP,GO_0002053,GO_0002053_EXP,GO_0003351,GO_0007283_CSV,GO_0032436_CSV,GO_0042060,GO_0043524,GO_0048010,GO_0048813,EXP_EPHB6,EXP_MAP3K12,EXP_TYK2,EXP_PRKCG,EXP_PAK3,EXP_SIK2,EXP_PASK,EXP_WNK4,PKA_104_ENG_X_Fingerprint_818,PKA_104_VOL_X_Fingerprint_644,PKA_105_POL_X_Fingerprint_791,PKA_115_EXP_X_Fingerprint_643,PKA_115_HYD_X_Fingerprint_576,PKA_124_POL_X_Fingerprint_791,PKA_145_ASA_X_Fingerprint_696,PKA_145_VOL_X_Fingerprint_696,PKA_157_HYD_X_Fingerprint_696,PKA_162_VOL_X_Fingerprint_576,PKA_192_ASA_X_Fingerprint_643,PKA_192_VOL_X_Fingerprint_643,EXP_GRK3_X_EXP_OR5M9,EXP_RIPK3_X_EXP_FADD,EXP_RIPK3_X_EXP_NFKBIA,EXP_SYK_X_EXP_CLEC7A,EXP_SYK_X_EXP_PDPN,EXP_WNK2_X_EXP_SLC12A3,REC_R_HSA_141409_EXP_X_REC_R_HSA_2316434_EXP,PWY_R_HSA_109606_EXP_X_PWY_R_HSA_418594_EXP,PWY_R_HSA_162906_X_PWY_R_HSA_69620,PWY_R_HSA_2029480_X_PWY_R_HSA_3700989,PWY_R_HSA_2187338_EXP_X_PWY_R_HSA_69273_EXP,PWY_R_HSA_2187338_X_PWY_R_HSA_382551,GO_0007411_X_GO_0034446,GO_0009615_EXP_X_GO_0070373_EXP,GO_0021766_X_GO_0030866,GO_0030155_X_GO_1901796
3.961077,749710,1010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31858261327945,2.99967916505887,7.90800605201745,3.26135587192695,3.07778751911397,4.37335487816256,4.61886504695059,2.8756369717846,0,0,0,0,0,0,0,0,0,0,0,0,13.0026621415747,24.3288456175533,28.7670893150526,14.5257534905788,27.6681097846749,9.02214953369702,0,0,0,0,0,0,0,0,0,0
3.521496,749711,1010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22490862237642,3.10504233100754,9.0040724196053,3.28018547196786,3.61705182301956,4.33510310589432,4.40425920372895,2.95672555078211,0,0,0,0,0,0,0,0,0,0,0,0,12.442207534084,25.9573671645785,23.8678360034373,21.4621357956351,11.0621786849745,20.9423422535948,0,0,0,0,0,0,0,0,0,0
4.034897,749712,1010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.810793,0,0,0,7.76365492053672,0,0,0,0.831479,0,0,0,0,0,3.21974051158878,3.59054871780533,7.82442971822774,3.2660987833848,3.22720186372082,4.05498250703251,3.96046571129428,3.24759185726218,0,0,0,0,0,0,0,0,0,0,0,0,14.2596487331922,26.1826655251897,27.5546422419404,10.4828745394359,9.0768381427734,10.1465768537632,0,0,0,0,0,0,0,0,0,0
3.2629,749714,1010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3.68477307684793,3.10336035207424,7.90933925729312,3.17884548166235,3.1494707609337,3.97185286525049,3.7833538619809,3.02403592055125,0,0,0,0,0,0,0,0,0,0,0,0,9.1405405604843,24.8830234058415,28.7618540862711,14.245266957347,11.9171580803746,16.3824530614607,0,0,0,0,0,0,0,0,0,0
0.810705,749715,1010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04890078326432,2.93959989039763,8.46485904086162,3.30286353799697,3.32542439929143,4.39143418940801,4.27901786632425,3.04894355419347,0,0,0,0,0,0,0,0,0,0,0,0,11.8150209018566,23.7345585744614,21.7422392634367,14.0180972682315,13.9473978021376,21.6215433622111,0,0,0,0,0,0,0,0,0,0
5.077861,749717,1010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833567,0,0,0,0,1.623285,0.833567,0,3,0,0,3.15640236230465,3.37761560334006,7.35226221509733,3.19437870183681,3.12105058970099,4.24885048586594,4.2380663768433,3.12524250121085,0,0,0,0,0,0,0,0,0,0,0,0,13.2066312867685,21.800343201293,25.3123698829463,15.1502388676101,14.4649048108104,12.049952623783,0,0,0,0,0,0,0,0,0,0
5.324839,905946,1010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2.93464083591859,3.51951663507188,8.09528088519567,3.38674503278019,3.30549097881996,3.75431957250045,3.85528421744561,3.02656961643522,0,0,0,0,0,0,0,0,0,0,0,0,9.75124671099195,24.0697246445466,29.8062076610187,11.0429449816557,11.8779462993282,9.9369822972026,0,0,0,0,0,0,0,0,0,0
4.849389,905951,1010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93569076833686,4.79604045091138,8.32788718057123,3.28319081059206,4.16274345472639,4.74707033291191,4.25424968574106,3.19050344981671,0,0,0,0,0,0,0,0,0,0,0,0,8.28263754173919,22.3415995284584,23.6965754273185,8.78641097102774,9.25078896997948,8.25235467943973,0,0,0,0,0,0,0,0,0,0
4.019632,905957,1010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.29170093774804,0,0,0,0,0,0,0,0,0,3.26609587415877,3.33038831241274,7.97592998532681,3.19332977325338,3.26282364995043,4.11604786618826,3.18970593443303,2.94442301700171,0,0,0,0,0,0,0,0,0,72.7,0,0,12.9298726335693,21.3300306807266,25.216310857175,8.67743060324673,9.13129408087885,8.60992030461112,0,0,0,1,0,0,0,0,0,1
4.24949,905960,1010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91523568922198,0,0,0,0,0,1,0,0,0,3.11754360872562,3.1853169966045,8.02966041238749,3.25400096496728,3.1098089179633,4.03262841632671,4.06736913432476,3.46801499877727,0,0,0,0,0,0,0,0,0,0,0,0,10.8419084714953,25.9619226179208,29.9536943758204,8.55033581566466,8.83527584842687,8.60311851171342,0,0,1,0,0,0,0,10.3673597805643,0,0
4.634636,906801,1010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5.83380858262026,0,0,0,0,0,0,0,2,0,3.54254419678608,3.32845985879406,7.52711316500893,3.30458369138071,3.02991497413736,4.19015456371586,4.1550541969312,3.07125628637322,0,0,0,0,0,0,0,0,0,0,0,0,8.4675315804357,23.285939470315,29.2133580570195,13.9941858197835,13.1490708660606,11.0958339407205,0,0,0,0,0,0,0,0,2,2
