IC50_GDSC2,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_833,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_813,Fingerprint_809,Fingerprint_806,Fingerprint_801,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_792,Fingerprint_788,Fingerprint_785,Fingerprint_783,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_712,Fingerprint_710,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_672,Fingerprint_667,Fingerprint_659,Fingerprint_648,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_158_K,PKA_224_EXP,MUT_AATK_EXP,REC_R_HSA_6800434_EXP,GO_0001570,GO_0007286_CSV,GO_0007399_CSV,GO_0021987,GO_0030968_EXP,GO_0035924_CSV,GO_0042490,GO_0050772_CSV,GO_0051301,GO_1900182_CSV,SFAM_PFTAIRE,CLS_gender_f,EXP_HASPIN,EXP_TP53RK,PKA_124_VOL_X_Fingerprint_644,PKA_130_POL_X_Fingerprint_658,PKA_134_ASA_X_Fingerprint_576,PKA_134_ASA_X_Fingerprint_644,PKA_134_HYD_X_Fingerprint_644,PKA_134_POL_X_Fingerprint_779,PKA_134_VOL_X_Fingerprint_576,PKA_134_VOL_X_Fingerprint_644,PKA_139_P_CSV_X_Fingerprint_709,PKA_139_P_EXP_X_Fingerprint_709,PKA_139_P_X_Fingerprint_709,PKA_139_X_Fingerprint_779,PKA_145_HYD_X_Fingerprint_707,PKA_145_POL_X_Fingerprint_685,PKA_145_VOL_X_Fingerprint_776,PKA_145_VOL_X_Fingerprint_821,PKA_145_X_Fingerprint_644,PKA_158_ASA_X_Fingerprint_363,PKA_158_ASA_X_Fingerprint_646,PKA_160_ENG_X_Fingerprint_644,PKA_160_ENG_X_Fingerprint_776,PKA_205_B62_X_Fingerprint_712,PKA_205_ENG_X_Fingerprint_797,PKA_205_EXP_X_Fingerprint_797,PKA_205_HYD_X_Fingerprint_779,PKA_205_POL_X_Fingerprint_702,PKA_205_POL_X_Fingerprint_714,PKA_205_R_CSV_X_Fingerprint_709,PKA_205_VOL_X_Fingerprint_779,PKA_207_HYD_X_Fingerprint_617,PKA_207_HYD_X_Fingerprint_798,PKA_218_B62_X_Fingerprint_644,PKA_218_EXP_X_Fingerprint_644,PKA_218_HYD_X_Fingerprint_818,PKA_230_ASA_X_Fingerprint_659,PKA_230_ENG_X_Fingerprint_779,PKA_230_EXP_X_Fingerprint_779,PKA_230_VOL_X_Fingerprint_779,PKA_234_ASA_X_Fingerprint_576,PKA_269_B62_X_Fingerprint_646,PKA_289_EXP_X_Fingerprint_617,PKA_293_ASA_X_Fingerprint_702,PKA_293_ASA_X_Fingerprint_707,PKA_293_B62_X_Fingerprint_702,PKA_293_HYD_X_Fingerprint_826,PKA_52_B62_X_Fingerprint_576,EXP_CDK12_X_EXP_TCEA1,EXP_CDK20_X_EXP_GTF2H3,EXP_CDK4_X_EXP_HIST1H2BA,EXP_CDK4_X_EXP_NFATC1,EXP_CDK4_X_EXP_NOTCH1,EXP_CDK4_X_EXP_SMAD3,EXP_CDK6_X_EXP_CDC25A,EXP_CSNK1E_X_EXP_MPHOSPH10,EXP_CSNK1E_X_EXP_WDR43,EXP_CSNK2A1_X_EXP_NFATC1,EXP_EIF2AK3_X_EXP_PSEN1,EXP_FGFR2_X_EXP_FGF8,EXP_FGFR2_X_EXP_RNF41,EXP_MAP2K1_X_EXP_PIK3CA,EXP_MAP2K1_X_EXP_YWHAQ,EXP_MAP3K8_X_EXP_NFATC2,EXP_MAPK12_X_EXP_TGM6,EXP_MAPK3_X_EXP_GAB2,EXP_PRKACG_X_EXP_GNG7,EXP_PRKACG_X_EXP_GPR161,EXP_SMG1_X_EXP_RPL15,EXP_SMG1_X_EXP_RPL3,EXP_TP53RK_X_EXP_TPRKB,PWY_R_HSA_1226099_X_PWY_R_HSA_1280215,PWY_R_HSA_174143_EXP_X_PWY_R_HSA_2555396_EXP,PWY_R_HSA_380972_X_PWY_R_HSA_5693571,PWY_R_HSA_449836_X_PWY_R_HSA_69620,GO_0000165_CSV_X_GO_0031532_CSV,GO_0001541_X_GO_0014066,GO_0001666_X_GO_0071364,GO_0002931_EXP_X_GO_0008285_EXP,GO_0006182_X_GO_0030097,GO_0006928_EXP_X_GO_0016049_EXP,GO_0006928_X_GO_0023014,GO_0007155_EXP_X_GO_0007275_EXP,GO_0010212_EXP_X_GO_0043087_EXP,GO_0031397_X_GO_0038095,GO_0035162_EXP_X_GO_0046330_EXP,GO_0043087_EXP_X_GO_0043525_EXP,GO_0048812_X_GO_0051091
3.473508,687985,1010,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.36225133136766,5.62059591833533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.898547865252,19.1101345037845,29.1031557713562,29.5163316224756,31.3962800715184,41.2607642069538,49.4992520610517,78.079212013406,62.4236250393277,23.9218939747459,28.6498331520118,11.4612082772826,15.5517328629785,49.4843656608397,71.1892992024733,7.94404064623929,21.2206535838288,18.9837228663503,10.455661745049,14.4184656841306,79.2570934322358,31.0114018172674,44.9888192522353,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.203426,687995,1010,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.761274,0,0,0,0,0,1,5.35855543103058,4.7768387892405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.3048084790893,19.6123199651161,25.8149051178246,33.9660462926151,34.5337493956325,48.8818675099251,36.2485318004696,73.3444162082331,51.1947897242955,25.1226097673843,30.0070254360584,11.9534601410783,17.7920276439592,44.2186127024942,77.5930268713434,10.4260186589592,17.4029782912311,27.8809671644329,13.3428187110708,21.4786481087399,65.1115605106595,25.1690370851123,37.1799365848058,0,23.0397566673016,0,0,0.632486993598,0,0,0,0,0,0,0,0,0,0,0,1
3.572442,687997,1010,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,4.05466972445548,4.77628868674255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,46.2649339117842,15.9922620173217,26.2844542611395,26.1207517752001,27.9572406182433,35.7770584900702,34.7611772802355,73.0848369726833,45.8665167444175,21.8906898324868,32.3905463566776,10.4194896194073,13.9554550043798,54.6865402492447,80.7635962324701,9.38522914525804,15.5760126612323,26.3929076857012,10.7130374536311,12.3726835904375,71.6423824909936,27.6325645560784,32.3242923870754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0178069312011,0,0
3.042746,688001,1010,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.12244041953595,4.34484703555676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.469038886965,17.7021641893547,28.3643683189896,32.0942127019009,34.298046999025,46.8495588599519,34.746694941086,76.0780064562842,44.4266961748503,23.6839130570553,27.2203970563999,10.2316476730609,16.3493233493126,58.446452556191,88.2503642507482,8.92235351901793,17.7635399394218,22.1091440764663,11.3109164624848,15.5558536494493,68.3843844207999,28.030375930095,34.3544723150647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.393602,688006,1010,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97408456197371,4.56010192229989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.9530585459132,13.4297483273428,27.7564422369384,29.5871545136352,33.5401389974679,36.9416297153227,25.8650950809589,75.6141959937423,52.1765452361356,23.5786060405399,40.1399712646809,15.7020944826623,18.1702133653714,51.0455595169986,80.9432583847754,9.04288075769271,18.629563086651,21.0071940304243,10.4384637506144,17.821318853626,67.4898217121659,29.0657936230648,31.9060681660619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.126055,688010,1010,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.67103340964279,0,0,0,0,0,0,0,4.35714719623716,5.43574260071695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.8466256345261,18.3002945859793,29.2195770062984,31.5925600315846,32.6440394024921,42.3266230770007,29.5993517805124,79.1929752287666,56.7423770301019,24.1051405709808,33.0548978664866,9.43611634742188,16.030378914985,59.2426729541062,80.1440556457958,8.68218566104791,20.0533018490888,24.3302522740408,9.87014662197655,18.776372589504,62.2867648622957,26.1816036335499,41.7846333016157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.664842,688014,1010,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4.57246332473641,4.13191146040746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.6333836942448,14.8799054432637,26.637561231505,28.9953276933276,34.1771190301134,40.7287882266519,23.4648888377723,77.7202908424102,48.8246707445172,22.7802588725554,39.2603827504299,9.60306793683736,14.8734966023839,58.1419681976261,75.9629261670371,9.79654974265257,18.5725061726727,30.1183144620909,11.3271529114446,19.0064677269081,79.0216304143358,30.4618475749745,30.3040846126636,0,0,0,0,0,0,0,0,0,0,0,15.698944831789,0,0,0,0,0
3.963639,688023,1010,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84350465908555,5.2225786269515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.6385598423589,19.8807633136709,27.2853116498649,29.9236314420122,31.2517971891095,39.6360561590507,61.5289565980523,78.3094348279443,63.0053232381053,24.7538179152757,40.9098406648861,11.7611527016643,22.1462358220783,62.6562347053045,80.1063358600477,8.24846578164442,15.4940004394668,18.7696615821318,11.3554046541217,14.3109153039943,69.9695886664008,30.2103678542011,40.3210372049582,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.626941,688025,1010,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18229481259389,5.08377334053057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6623763508136,14.2002608920242,27.6334281321605,32.1789240331524,32.5973643726589,41.6473553459216,48.4560403733103,67.1328582246118,47.5684892732448,26.9049523206857,28.7807882957626,11.1034180817634,17.396369930757,48.2795470596524,80.8153040549279,9.11128131790906,19.0857524762435,30.2409537236997,10.2287687782636,14.2452738708098,69.3435791202442,27.057921291028,36.9132421535557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.222731,688026,1010,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.40478785474938,0,0,0,0,0,0,1,4.2695111949703,5.30415603210023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.9855910929936,17.5397746659204,29.1610329280801,29.0659787166778,32.3065016503143,39.6411587155179,34.9292589653853,80.052588474176,55.3391620082932,22.7196213004489,33.9279047535814,10.563148862101,13.7889160146484,48.1070820544798,53.3027796583872,8.92297645471606,21.8019786917228,24.1557150555934,14.0550185226249,20.2419430940104,62.427092317301,26.4473034687119,37.0438850001877,1,0,0,0,0,0,0,25.3685882470649,0,0,0,0,0,0,0,0,0
