IC50_GDSC2,Cancer,Drug,From_Sanger,Fingerprint_833,Fingerprint_830,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_806,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_792,Fingerprint_785,Fingerprint_784,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_712,Fingerprint_710,Fingerprint_707,Fingerprint_705,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_677,Fingerprint_676,Fingerprint_673,Fingerprint_672,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_576,Fingerprint_363,MOT_2D_beta2strand,REC_R_HSA_5672972,REC_R_HSA_5672972_EXP,PWY_R_HSA_416482,PWY_R_HSA_416482_EXP,GO_0006357,GO_0006979,GO_0018105_CSV,GO_0035556_CSV,GO_0048010,GO_0051973_EXP,GO_2000145_EXP,EXP_BRDT,PKA_270_CSV_X_Fingerprint_776,PKA_54_HYD_X_Fingerprint_685,PKA_54_HYD_X_Fingerprint_776,PKA_54_POL_X_Fingerprint_776,EXP_CDK13_X_EXP_UBXN7,EXP_CDK15_X_EXP_CCNA1,EXP_NTRK3_X_EXP_SHC3,EXP_PLK2_X_EXP_CCNF,EXP_PRKACA_X_EXP_HAUS2,EXP_PRKACG_X_EXP_CACNA2D4,EXP_PRKG1_X_EXP_LIPE,EXP_PRKG1_X_EXP_PRKAR1B,EXP_RIOK1_X_EXP_UTP15,EXP_RIOK1_X_EXP_UTP3,EXP_RIOK1_X_EXP_WDR36,PWY_R_HSA_1430728_X_PWY_R_HSA_168898,PWY_R_HSA_168138_EXP_X_PWY_R_HSA_9006934_EXP,PWY_R_HSA_2672351_X_PWY_R_HSA_74751,GO_0035556_EXP_X_GO_0043507_EXP
2.40445,684059,1010,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,7.741978069696,0,0,0.792229,0.792229,0,0,0,3.01966081110155,0,0,0,0,39.5892568790783,12.3922458483592,8.23062193466727,15.0899548645615,21.2748157285095,9.61447642417808,10.8476354794659,12.2295930654761,44.6280753177861,71.6335891865831,64.7365290264255,0,0,0,0
3.175279,684072,1010,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.719164,0.719164,0,0,0,2.81202304142813,0,0,0,0,34.3491839980265,14.8473036264236,9.00523708971854,18.2099391893435,20.1108925846883,9.92145441719325,10.1885916361977,12.2942605465232,37.5020757919725,65.8740908735862,58.8161012599282,0,0,0,0
3.17068,753539,1010,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3.49587937955169,0,0,0,0,0,6.54839552578643,0,3.22903278174784,0,0,0,0,21.021087373361,10.0276926692873,10.3493589458676,16.5232088925692,23.6850667032667,10.8692868643066,10.3797812069308,12.1698675856955,30.6646735360924,56.7297028924483,52.0022519982038,0,0,0,62.5942841449376
3.004202,907060,1010,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2.93080057602447,0,0,0,0,0,0,0,0,0,2.96133897162613,0,0,0,0,27.2620485288908,10.6134898403853,9.62189706090532,33.5159648530599,24.002591280569,9.46726719511077,11.4477255030145,12.3124991055315,32.0881472857399,59.4067168042343,52.5448287185346,0,0,0,0
3.617975,907072,1010,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.783763,0,0,0,0,2.9821391631283,0,0,0,0,22.7260339558488,11.0876686091214,9.59816891213062,35.9349037765653,21.3316070634894,10.1566563631286,11.1350859874543,12.4766135913333,28.7432378084643,55.2708254939501,54.3328929092377,0,27.7856824203707,0,0
3.620468,909717,1010,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.676585,0.676585,0,0,2.82169093923122,2.8853078362228,0,0,0,0,26.3945926935088,11.6515865882725,11.401136223331,28.1502142154199,23.3661127910704,10.4004566822199,9.95112844897229,10.7756233499455,30.6002685780277,53.4060607862563,53.2708739830116,0,0,0,0
2.612939,909731,1010,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.692127,0,0,0,2.95071457012264,0,0,0,0,30.248961490102,10.4325054605487,8.85877444641817,19.4032896140089,22.4344341595324,9.72951029798171,11.0214394339642,13.1108386760901,40.5025936475913,71.5651541913017,69.6713324661491,0,0,0,0
5.566156,909776,1010,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.695469,0,8.02834277519493,0,2.7347708293733,0,0,0,0,22.3458688045289,10.158999337016,10.2405569409056,48.4562224001682,21.602636520517,14.171106839104,10.7082242607502,11.9530084397603,28.9107612155235,53.6785254627173,46.901006646833,1,54.3564789595525,1,134.163092329622
4.896755,909977,1010,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,4.58496980640333,0,0,0,0,0,0,1,0,0,3.07211127364817,0,0,0,0,20.4376833326805,10.7110569078896,12.7678422496013,30.3979308360466,21.9146575696308,10.7513893815668,14.4498051195114,15.7105516726319,25.9016912436564,51.0932356652742,42.8953020480236,0,40.8621019821489,0,0
3.452106,910849,1010,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.673362,0.549837,0,0,0,3.06408681486861,0,0,0,0,17.52530948787,16.4370111759497,13.1455791365775,45.675662947905,26.1980137144224,10.956855292954,11.9429742861785,14.0701491663056,32.7972641246056,58.9006068380007,51.3770185803048,1,26.9539993181402,0,82.4649579676111
