IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_825,Fingerprint_824,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_806,Fingerprint_801,Fingerprint_799,Fingerprint_797,Fingerprint_792,Fingerprint_791,Fingerprint_785,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_707,Fingerprint_704,Fingerprint_702,Fingerprint_697,Fingerprint_696,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_672,Fingerprint_658,Fingerprint_656,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_643,Fingerprint_635,Fingerprint_617,Fingerprint_611,Fingerprint_363,PKA_153_CHA,MOT_2D_linker_CSV,PWY_R_HSA_8848021_EXP,GO_0007257_CSV,GO_0014068_CSV,GO_0016477_CSV,GO_0045765_EXP,GO_2001240,SFAM_Alpha_Unclassified_EXP,EXP_FAM198B,EXP_MINK1,EXP_LIMK2,EXP_ANKK1,EXP_WNK4,EXP_ROCK1,PKA_146_EXP_X_Fingerprint_698,PKA_153_POL_X_Fingerprint_576,PKA_153_POL_X_Fingerprint_611,PKA_73_ASA_X_Fingerprint_644,EXP_AKT1_X_EXP_ADCY2,EXP_AKT1_X_EXP_APAF1,EXP_AKT1_X_EXP_NF2,EXP_CDK4_X_EXP_CDC25B,EXP_CDK4_X_EXP_HSP90AA1,EXP_CDK4_X_EXP_MLH1,EXP_CDK4_X_EXP_RPA1,EXP_CDK4_X_EXP_SUPT3H,EXP_CDK9_X_EXP_CCND2,EXP_CDK9_X_EXP_LARP7,EXP_CDK9_X_EXP_NELFA,EXP_CDK9_X_EXP_TCEA1,EXP_LIMK2_X_EXP_ACACB,EXP_LIMK2_X_EXP_CDC42,EXP_MAP2K7_X_EXP_FAS,EXP_MAP2K7_X_EXP_MYC,EXP_MAP2K7_X_EXP_VEGFA,EXP_MAPKAPK3_X_EXP_HIST1H2BJ,EXP_MARK2_X_EXP_SLC3A2,EXP_MINK1_X_EXP_CHRNE,EXP_NEK7_X_EXP_NUP107,EXP_NEK7_X_EXP_NUP160,EXP_NEK7_X_EXP_TOP2B,EXP_OXSR1_X_EXP_SLC22A13,EXP_PRKCA_X_EXP_ATF2,EXP_PRKCA_X_EXP_CALM1,EXP_PRKCA_X_EXP_GNAO1,EXP_PRKCA_X_EXP_GNGT2,EXP_PRKCA_X_EXP_HSP90AA1,EXP_PRKCA_X_EXP_JAM2,EXP_PRKCA_X_EXP_LEMD3,EXP_PRKCA_X_EXP_PLCB2,EXP_PRKCA_X_EXP_PPP1R14A,EXP_PRKCA_X_EXP_YWHAG,EXP_STK24_X_EXP_PPP2R1A,EXP_STK24_X_EXP_PPP2R1B,EXP_TGFBR2_X_EXP_FBN1,EXP_TGFBR2_X_EXP_NEDD4L,EXP_TGFBR2_X_EXP_PPP1CC,EXP_TGFBR2_X_EXP_SMAD6,EXP_TGFBR2_X_EXP_XPO1,EXP_TGFBR2_X_EXP_ZFYVE16,EXP_TRIB3_X_EXP_TGS1,EXP_WNK4_X_EXP_KCNJ1,GO_0000187_EXP_X_GO_0001525_EXP,GO_0001764_EXP_X_GO_0034613_EXP,GO_0001764_X_GO_0009267,GO_0002250_CSV_X_GO_0007169_CSV,GO_0006897_EXP_X_GO_0030182_EXP,GO_0006897_EXP_X_GO_0070372_EXP,GO_0006897_X_GO_0045944,GO_0007030_EXP_X_GO_0048013_EXP,GO_0007030_X_GO_0070372,GO_0016242_X_GO_0035556,GO_0031098_X_GO_0048812,GO_0035556_EXP_X_GO_0051966_EXP,GO_0035556_EXP_X_GO_1901215_EXP
2.295743,753532,1010,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.816725,0,0,0,0,0,5.256379074,4.308280252,4.215378323,2.83416047,3.105633054,3.499221764,0,0,0,0,14.16358835,15.06197259,19.35842524,55.55430811,78.64361483,38.87906954,53.47594807,31.4070038,16.98435746,41.4106676,27.16510624,47.70949565,14.90680175,19.4690669,20.6283355,46.41758113,26.16969165,19.52853639,27.52459728,16.99217876,54.74221966,37.12766784,62.97292184,24.66461151,20.38765373,43.90074853,15.81401555,14.43467588,47.09373489,15.1120956,21.96616838,15.53799944,15.85066148,23.05249785,28.37541266,21.65263725,38.14769516,42.0565867,78.81324222,34.04757684,59.33747642,27.64228085,33.92001053,9.786229374,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.75327,753538,1010,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.669236,0,0,0.831868,0.831868,0,0,0,3.428092292,4.607394718,5.38252137,3.112048828,3.417604486,3.088156761,0,0,0,0,14.07997248,17.39605113,19.68858031,31.64597258,84.68953844,43.35315687,61.52254421,32.83881484,18.54750659,49.99399952,39.52362068,59.28299123,19.38638921,22.2231292,27.30255764,55.71973301,25.97256616,19.52983942,39.66797139,18.50016134,52.90595963,34.45286022,52.20452364,20.27974715,16.98548147,38.70711336,12.91588816,12.43462156,38.14620352,12.48921157,19.39045035,12.41572594,11.91320912,21.63436165,37.35656472,27.05844525,12.65204203,23.92793789,52.21124946,17.67836466,38.87951497,16.84971025,38.07757431,10.53902294,0,0,0,0,0,0,0,0,0,0,1,0,0
-1.910427,753541,1010,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.798800632,4.793292347,6.396225927,3.559169,3.093060612,2.86711131,0,0,0,0,14.42165998,16.952112,20.63241236,57.21388571,74.13601836,33.33833852,57.21897553,29.35253811,24.72208857,51.16982779,39.452857,56.52550332,21.66697985,29.49556343,33.60806071,55.57052275,28.92071117,16.10461703,39.75557666,16.84378048,49.08444276,33.85674642,48.40810813,19.81096371,13.51881473,34.02421459,11.14509613,10.50601789,30.92018101,10.90312699,15.84209919,10.7504904,11.07219805,16.3849337,39.2980487,24.95601383,12.99901688,27.7627038,47.15914129,15.13783607,35.7371439,16.16579012,42.15535922,9.411060323,0,0,0,0,0,0,1,0,0,0,0,0,0
-1.096181,753561,1010,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.270958739,4.449021819,6.666392708,3.239682572,3.116288289,3.252402341,0,0,0,0,14.41198773,17.21844931,24.73989581,52.89271887,98.59574814,39.62406523,63.32127544,46.67403285,15.67796493,38.94821511,30.39000046,45.80968679,24.89088285,29.31156674,31.48921224,49.6803659,21.31170745,19.14733273,37.34846877,17.18080301,56.46197429,44.57472849,58.41774265,20.88015985,17.84767526,37.39003326,12.05299013,11.12400215,39.14786584,11.62094901,17.08971349,12.51597513,15.64175531,19.79290281,35.19623051,24.34747452,14.11283331,27.29098244,55.26751878,18.45389247,46.4135919,17.72228919,45.4487599,9.70916968,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.835977,753562,1010,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.419995562,4.620073398,4.899574895,3.107282847,2.995393961,3.310570476,0,0,0,0,14.53595471,17.484562,26.51536081,53.85431445,93.21389742,47.10638746,67.90249509,36.86880815,46.2386489,43.00452841,28.47583851,50.04971074,17.42658503,22.3237705,29.75692391,47.81226683,23.56313183,24.60367993,41.01835604,16.94896961,72.3958986,46.50499504,67.60710462,20.71745924,17.04664437,40.26630953,11.69384863,11.69225787,38.49041325,11.06087547,18.01569347,11.1193804,11.03669176,19.3866672,33.54810874,34.1294621,16.85311125,40.05241283,64.39909545,19.71143638,53.88751855,24.33477714,39.98009048,9.179014512,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.084518,753583,1010,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,2.801726795,4.488503724,3.72206219,3.112513554,3.036758232,3.751692207,0,3.3,0,0,14.46872226,16.84875242,29.60156842,66.73747855,97.10256023,49.91398962,71.72808388,39.83070121,18.02450724,41.6763815,29.26440946,55.90054905,13.0253665,17.43670673,24.64880427,48.61379922,22.05673827,19.8688094,32.18559495,16.7872699,65.97050853,42.17685013,68.09566011,23.90646033,18.65280646,38.72460923,12.64478433,11.60962881,38.23668281,11.60274063,17.36268384,12.11038933,33.64627117,19.40631245,29.54902165,22.0067284,10.40311795,27.25460606,40.91495196,19.28782247,35.20947782,14.99993791,41.80938963,9.198771995,0,0,0,0.621029107,0,0,0,0,0,0,0,0,0
-1.692283,906863,1010,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.684060747,3.178629087,4.653623069,4.993299092,3.008884681,3.40965556,3.545960089,0,0,0,0,13.56990135,16.6381786,19.15056731,45.40070291,90.19059395,51.07053649,68.91796897,35.8332102,21.93572548,41.17686026,29.91640605,54.71579778,18.76896411,22.63651937,26.4853986,51.03723171,22.08746341,16.06546157,31.2922999,17.38062642,62.9942641,43.65787504,66.30214348,25.11542123,19.72960912,45.92040877,12.73870544,12.59929582,37.49778686,12.0269962,18.72886544,11.50029932,12.39402074,18.89951582,34.51893686,23.61105856,15.01875281,21.45144712,58.52614263,17.59144679,49.17181943,21.1674131,45.58524902,10.38277291,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.694128,907062,1010,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.420242584,4.457790505,5.025376837,2.910981652,2.963208538,3.207357395,0,0,0,0,12.59525963,15.20241561,18.96294121,58.01485336,77.21057516,41.07041486,61.56200711,34.34840033,35.07552878,39.43148311,25.98051301,49.82395015,19.28383787,20.74271104,28.92810366,40.38477665,17.92553272,17.34281209,31.5836764,16.0644203,65.92762606,37.53269623,65.48011924,22.35351681,17.01935634,36.68573336,12.75639799,11.87174963,34.62889781,10.91289887,18.06558119,11.26831034,11.73883787,20.96924495,30.38573884,23.78541818,15.89371496,34.6544332,58.93197139,31.47610432,49.53288501,22.98913122,40.88579935,8.97743921,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.316959,909708,1010,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.946249544,4.615180337,4.556794575,3.107652128,3.078935016,3.031397106,0,0,0,0,14.57561271,15.80130079,20.62977015,62.17248942,88.83454597,48.78671735,62.68276384,33.93214464,42.24546364,41.77292052,31.03336356,57.73447763,15.9984355,18.85519713,26.8103227,56.47331946,22.1021389,20.00565174,37.30508391,18.00152985,73.29923847,41.08663646,63.15026605,21.99273076,16.40457961,34.83545984,11.48090566,10.96416667,34.87201348,11.07831448,18.57483891,10.73331762,10.95807229,17.6176716,37.93482028,28.01683273,15.18910384,42.71683864,61.02122951,17.58985117,49.09510224,20.4229977,65.64471768,9.14642592,0,0,0,0,0,0,0,0,0,0,0,0,0
1.810569,909709,1010,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47125645,4.737510844,6.304677264,3.216528096,2.967875137,3.094419444,0,0,0,0,12.9417875,15.02341454,19.29851954,64.31272226,67.45839837,36.86439553,53.20119568,30.86789521,18.05709703,41.48457011,30.37499216,52.77125706,21.43561317,28.31978885,25.16142705,50.14890102,25.03590415,20.42469256,36.68835367,17.36592475,58.57869668,39.5894871,60.20112174,23.43755416,15.98763692,40.01640942,12.56827679,13.15314447,34.26657457,12.23277625,18.7317941,12.06758123,12.2396184,19.33066397,35.08841358,24.83878054,15.96788875,35.70780389,54.55273013,17.35337231,46.35701904,18.61961946,46.09231329,9.114821363,0,0,0,0,0,0,0,0,0,0,0,0,0
