IC50_GDSC2,Cancer,Drug,From_Sanger,Fingerprint_826,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_797,Fingerprint_791,Fingerprint_776,Fingerprint_714,Fingerprint_710,Fingerprint_697,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_673,Fingerprint_667,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_363,GO_0030336_EXP,EXP_IRAK3,EXP_BRD4,PKA_137_POL_X_Fingerprint_576,EXP_BRD4_X_EXP_MYC,EXP_BRD4_X_EXP_NUMA1,EXP_IRAK3_X_EXP_IL1RAP,EXP_MAP2K7_X_EXP_PIK3CG
2.332057,687505,1010,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.37820147677993,3.02525582756062,5.60907736382962,0,65.3716790418806,34.5892831502245,9.70839962805198,14.6750894673608
2.680759,687506,1010,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.47939924288961,5.4320796758678,0,59.1179760194091,34.530745111563,13.8375044503259,11.8950417888664
5.491283,724839,1010,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.95707796154449,5.41311368369352,-1.4,46.2465347851226,32.9521535841171,15.868346124504,12.6386316064699
1.736067,906824,1010,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6.30182338579241,2.99566043127481,5.91738674533312,0,67.4144992998741,40.0182781840955,11.4976669435373,14.4879232011752
2.495263,906843,1010,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.94783592261595,5.51994554391789,0,67.3699694802456,33.681930666685,12.8398596929993,13.4176109045095
3.548106,907068,1010,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.63213683948029,5.61250550825468,0,66.4655176016202,35.4878118960752,13.8208330468134,12.9999838494593
4.615938,930297,1010,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.85211313649146,5.38205240884875,0,47.8024948868553,34.7553748952048,19.154756443888,12.1040932752282
2.279489,930298,1010,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.22842662255213,5.00449165617171,0,53.5484621029776,32.2617588461267,18.2118281144411,11.4072271945789
3.096833,946357,1010,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.1976712244182,5.63060401073203,0,67.2977356172744,38.6017746396008,11.8515937446324,14.4691121769034
4.316022,1240212,1010,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.15667020354829,5.68738449404698,0.299999999999999,53.0789904421177,35.2900540413041,11.7918039948165,13.0408144643043
2.467566,1298134,1010,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.41400675457327,3.22319981575374,5.26759239942652,0,61.6407844609526,36.0260340896299,11.5041595239196,13.2346592768228
3.22196,687505,1013,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,3.37820147677993,3.02525582756062,5.60907736382962,0,65.3716790418806,34.5892831502245,9.70839962805198,14.6750894673608
3.350515,687506,1013,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,3.47939924288961,5.4320796758678,0,59.1179760194091,34.530745111563,13.8375044503259,11.8950417888664
6.106876,724839,1013,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,3.95707796154449,5.41311368369352,-1.4,46.2465347851226,32.9521535841171,15.868346124504,12.6386316064699
4.672455,906824,1013,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,6.30182338579241,2.99566043127481,5.91738674533312,0,67.4144992998741,40.0182781840955,11.4976669435373,14.4879232011752
4.688815,906843,1013,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,2.94783592261595,5.51994554391789,0,67.3699694802456,33.681930666685,12.8398596929993,13.4176109045095
5.339033,907068,1013,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,3.63213683948029,5.61250550825468,0,66.4655176016202,35.4878118960752,13.8208330468134,12.9999838494593
5.803326,930297,1013,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,4.85211313649146,5.38205240884875,0,47.8024948868553,34.7553748952048,19.154756443888,12.1040932752282
3.298388,930298,1013,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,4.22842662255213,5.00449165617171,0,53.5484621029776,32.2617588461267,18.2118281144411,11.4072271945789
3.326091,946357,1013,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,3.1976712244182,5.63060401073203,0,67.2977356172744,38.6017746396008,11.8515937446324,14.4691121769034
1.948606,1298134,1013,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,4.41400675457327,3.22319981575374,5.26759239942652,0,61.6407844609526,36.0260340896299,11.5041595239196,13.2346592768228
-0.739366,687505,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,3.37820147677993,3.02525582756062,5.60907736382962,0,65.3716790418806,34.5892831502245,9.70839962805198,14.6750894673608
-0.414361,687506,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,3.47939924288961,5.4320796758678,0,59.1179760194091,34.530745111563,13.8375044503259,11.8950417888664
4.345673,724839,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,3.95707796154449,5.41311368369352,0,46.2465347851226,32.9521535841171,15.868346124504,12.6386316064699
-0.621131,906824,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,6.30182338579241,2.99566043127481,5.91738674533312,0,67.4144992998741,40.0182781840955,11.4976669435373,14.4879232011752
0.54398,906843,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,2.94783592261595,5.51994554391789,0,67.3699694802456,33.681930666685,12.8398596929993,13.4176109045095
2.371538,907068,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,3.63213683948029,5.61250550825468,0,66.4655176016202,35.4878118960752,13.8208330468134,12.9999838494593
2.118802,930297,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,4.85211313649146,5.38205240884875,0,47.8024948868553,34.7553748952048,19.154756443888,12.1040932752282
0.928892,930298,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,4.22842662255213,5.00449165617171,0,53.5484621029776,32.2617588461267,18.2118281144411,11.4072271945789
-1.136641,946357,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,3.1976712244182,5.63060401073203,0,67.2977356172744,38.6017746396008,11.8515937446324,14.4691121769034
0.369045,1240212,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,3.15667020354829,5.68738449404698,0,53.0789904421177,35.2900540413041,11.7918039948165,13.0408144643043
0.851463,1298134,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,4.41400675457327,3.22319981575374,5.26759239942652,0,61.6407844609526,36.0260340896299,11.5041595239196,13.2346592768228
1.123514,687505,1046,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,3.37820147677993,3.02525582756062,5.60907736382962,0,65.3716790418806,34.5892831502245,9.70839962805198,14.6750894673608
1.957823,687506,1046,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,3.47939924288961,5.4320796758678,0,59.1179760194091,34.530745111563,13.8375044503259,11.8950417888664
2.374507,906824,1046,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,6.30182338579241,2.99566043127481,5.91738674533312,0,67.4144992998741,40.0182781840955,11.4976669435373,14.4879232011752
2.575021,906843,1046,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,2.94783592261595,5.51994554391789,0,67.3699694802456,33.681930666685,12.8398596929993,13.4176109045095
3.669262,907068,1046,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,3.63213683948029,5.61250550825468,0,66.4655176016202,35.4878118960752,13.8208330468134,12.9999838494593
5.593007,930297,1046,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,4.85211313649146,5.38205240884875,0,47.8024948868553,34.7553748952048,19.154756443888,12.1040932752282
3.061271,930298,1046,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,4.22842662255213,5.00449165617171,0,53.5484621029776,32.2617588461267,18.2118281144411,11.4072271945789
0.864857,946357,1046,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,3.1976712244182,5.63060401073203,0,67.2977356172744,38.6017746396008,11.8515937446324,14.4691121769034
2.569147,1240212,1046,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,3.15667020354829,5.68738449404698,0.299999999999999,53.0789904421177,35.2900540413041,11.7918039948165,13.0408144643043
1.791543,1298134,1046,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,4.41400675457327,3.22319981575374,5.26759239942652,0,61.6407844609526,36.0260340896299,11.5041595239196,13.2346592768228
4.063115,687505,1049,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.37820147677993,3.02525582756062,5.60907736382962,0,65.3716790418806,34.5892831502245,9.70839962805198,14.6750894673608
4.504557,687506,1049,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.47939924288961,5.4320796758678,0,59.1179760194091,34.530745111563,13.8375044503259,11.8950417888664
6.656169,724839,1049,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.95707796154449,5.41311368369352,-1.4,46.2465347851226,32.9521535841171,15.868346124504,12.6386316064699
4.417865,906824,1049,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6.30182338579241,2.99566043127481,5.91738674533312,0,67.4144992998741,40.0182781840955,11.4976669435373,14.4879232011752
4.817642,906843,1049,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.94783592261595,5.51994554391789,0,67.3699694802456,33.681930666685,12.8398596929993,13.4176109045095
5.352795,907068,1049,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.63213683948029,5.61250550825468,0,66.4655176016202,35.4878118960752,13.8208330468134,12.9999838494593
6.048688,930297,1049,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.85211313649146,5.38205240884875,0,47.8024948868553,34.7553748952048,19.154756443888,12.1040932752282
5.307632,930298,1049,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.22842662255213,5.00449165617171,0,53.5484621029776,32.2617588461267,18.2118281144411,11.4072271945789
2.804737,946357,1049,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.1976712244182,5.63060401073203,0,67.2977356172744,38.6017746396008,11.8515937446324,14.4691121769034
5.049526,1240212,1049,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.15667020354829,5.68738449404698,0.299999999999999,53.0789904421177,35.2900540413041,11.7918039948165,13.0408144643043
3.10359,1298134,1049,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.41400675457327,3.22319981575374,5.26759239942652,0,61.6407844609526,36.0260340896299,11.5041595239196,13.2346592768228
3.140813,687505,1053,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,3.37820147677993,3.02525582756062,5.60907736382962,0,65.3716790418806,34.5892831502245,9.70839962805198,14.6750894673608
3.996465,687506,1053,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,3.47939924288961,5.4320796758678,0,59.1179760194091,34.530745111563,13.8375044503259,11.8950417888664
6.901629,724839,1053,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,3.95707796154449,5.41311368369352,-1.4,46.2465347851226,32.9521535841171,15.868346124504,12.6386316064699
2.804103,906824,1053,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,6.30182338579241,2.99566043127481,5.91738674533312,0,67.4144992998741,40.0182781840955,11.4976669435373,14.4879232011752
5.670502,906843,1053,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,2.94783592261595,5.51994554391789,0,67.3699694802456,33.681930666685,12.8398596929993,13.4176109045095
6.321026,907068,1053,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,3.63213683948029,5.61250550825468,0,66.4655176016202,35.4878118960752,13.8208330468134,12.9999838494593
