IC50,Cancer,Drug,Fingerprint_833,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_806,Fingerprint_799,Fingerprint_797,Fingerprint_780,Fingerprint_779,Fingerprint_712,Fingerprint_710,Fingerprint_707,Fingerprint_705,Fingerprint_697,Fingerprint_687,Fingerprint_685,Fingerprint_677,Fingerprint_676,Fingerprint_672,Fingerprint_669,Fingerprint_656,Fingerprint_650,Fingerprint_646,Fingerprint_644,Fingerprint_617,Fingerprint_611,Fingerprint_576,MUT_MAST2,SFAM_MAST,SFAM_MAST_EXP,FAM_PKL_EXP,EXP_HASPIN,EXP_FER,EXP_SCYL1,EXP_TRPM6,EXP_NRK,PKA_141_B62_X_Fingerprint_776,PKA_141_CSV_X_Fingerprint_776,PKA_141_ENG_X_Fingerprint_776,PKA_141_POL_X_Fingerprint_776,EXP_BLK_X_EXP_CBL,EXP_BLK_X_EXP_DAPP1,EXP_BLK_X_EXP_PLCG2,EXP_GRK7_X_EXP_CCR8,EXP_LRRK2_X_EXP_RAB29,EXP_LRRK2_X_EXP_TFDP1,EXP_LRRK2_X_EXP_TUBB4B,EXP_MAP3K1_X_EXP_CD40LG,EXP_MAP3K1_X_EXP_NRK,EXP_MAP3K1_X_EXP_PLCG2,EXP_MAPK14_X_EXP_ACTA1,EXP_MAPK14_X_EXP_AR,EXP_MAPK14_X_EXP_ELAVL1,EXP_MAPK14_X_EXP_ESR1,EXP_MAPK14_X_EXP_FOSL1,EXP_MAPK14_X_EXP_IL2RG,EXP_RAF1_X_EXP_SCNN1G,EXP_SCYL1_X_EXP_AFTPH,Predicted IC50,Validation
2.776635,688086,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.4785874998,6.1592377309,4.0549330007,2.95881721,2.7636552386,0,0,0,0,14.506309906,10.169277903,10.050680307,9.5366919462,13.860718235,21.350870205,36.982723058,24.088428028,20.34228916,22.254744152,15.198513763,14.033594589,35.83269458,13.998118509,15.100793552,14.216085374,19.2498904,24.336841538,1.4245192688,2
2.16145,753616,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.17935239,6.3150001348,3.9634915079,3.0475652609,2.8206361893,0,0,0,0,13.18267185,9.0264918555,10.510392658,9.3426480612,18.226215841,18.341604866,30.841826338,31.575342065,28.109908242,34.984797329,17.256919553,14.540054533,35.423944223,14.553421589,16.311798085,14.618251683,18.385609673,26.040649309,1.9262883415,10
3.005504,753618,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,6.9325860111,4.1574311249,6.2040964012,4.0837585012,2.7940765549,2.797231459,0,0,0,0,12.75262573,9.1522763627,9.0153377751,9.7526114225,20.532644233,19.460233764,31.836455316,24.002002538,21.353330743,23.013616902,17.087020752,14.208380331,35.104004554,15.947849612,15.941393524,15.000839219,20.540685264,26.155488244,0.6441236152,8
3.63181,753620,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.9955726526,5.4772215277,3.9191471035,3.0498159977,2.8919052087,0,0,0,0,12.970455795,9.5399515979,10.031167006,9.1848564941,18.276361766,19.336953608,31.939125327,29.374672532,24.98614708,28.387834836,15.103576539,14.867471601,34.975821721,14.187359872,14.78176195,14.640156611,19.802836881,23.523547128,1.537025743,3
2.773124,906803,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.7537471722,5.58970471,4.4025031686,3.0694430663,2.7805984727,0,0,0,0,14.378680443,8.9980036392,11.808906163,9.4069801878,29.966421999,26.324356159,44.907757407,24.202912564,21.91227919,30.84855285,17.60117621,16.123072778,37.88593334,17.591165987,21.38622187,15.875453027,16.833903304,27.19484225,3.3384782845,9
2.579488,907170,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,4.6054433093,5.0635108536,5.0543566337,4.0900633709,2.8986290134,2.8260208106,0,0,0,0,11.26156785,8.6455592277,9.6316554278,10.013538969,25.701916742,23.54630943,37.675555548,21.417080729,18.332404864,21.240758431,18.096705539,15.904504291,40.91927839,15.998185332,17.002378565,15.952673215,22.034208758,24.634941653,-0.882040753,1
0.482342,907314,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,3.8780668646,0,3.9352718573,5.9380981735,3.8429776126,3.3158520501,2.9473774319,0,0,0,0,15.436788007,10.124279979,12.098808768,8.7418636044,11.225631387,20.995403324,32.844752291,37.057168585,29.697827052,38.638285352,16.616177929,14.556721511,33.149150655,15.139460193,16.150243923,14.913552286,20.778749238,22.328567037,1.4708987347,7
3.472481,908135,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.290078221,5.5743727388,4.066407361,2.8770099757,2.8481356388,0,0,0,0,13.865555166,8.9650272512,9.4180228899,10.162985163,18.605261671,23.508687843,32.692231901,29.328523714,25.169463464,27.650814553,16.666358778,14.566286846,31.909858996,15.568211725,15.15170617,14.605615512,19.538078468,25.748073729,0.9856622891,3
3.63342,908447,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.5832775049,5.954975638,3.8617881886,3.0544994437,2.8496710327,0,0,0,0,12.150205018,9.0026310422,11.959597236,9.1869703409,14.153790029,18.715265394,31.68911723,35.958376894,29.990610407,41.204520107,16.070792095,14.467801628,33.457453769,15.233893866,15.673987748,15.088003093,19.542371655,23.225792038,0.8436616177,7
1.443277,925342,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,7.3149162214,5.0886920842,4.992109013,4.9423886138,2.9730211377,2.8667250549,0,0,0,0,11.584218186,8.1089848921,9.7049385765,9.3805012363,22.225065139,29.986056878,44.870036229,18.500280171,16.301461963,19.749656645,18.618563213,17.11236429,46.199578436,17.144949954,18.4463261,17.276438276,30.955342457,28.580318913,-0.211554515,3
