IC50,Cancer,Drug,PWY_R_HSA_450385_EXP,MOT_2D_beta3strand_EXP,SFAM_IRAK_EXP,GO_0032793,REC_R_HSA_109857,GO_0048168_EXP,MUT_PKN2,PWY_R_HSA_1280215_EXP_X_PWY_R_HSA_5683057_EXP,GO_0090002_EXP,GO_0032007_EXP,PWY_R_HSA_397014,PKA_183_A_CSV,PWY_R_HSA_198725_EXP,GO_0006368_EXP,PKA_252_ENG,REC_R_HSA_8857565_EXP_X_REC_R_HSA_8868658_EXP,Fingerprint_828,MUT_HCK_EXP,MUT_MAPK3_EXP,GO_0001662,DOM_FERM_M_EXP,PWY_R_HSA_1227986,GO_0016525,SDOM_subdomainI_EXP,GO_0034613_CSV,GO_0006928_EXP_X_GO_0045785_EXP,PKA_196_POL,GO_0016192_EXP,GO_0001865,SFAM_Trio_EXP,MOT_2D_beta2strand_CSV,GO_0022038_CSV,PWY_R_HSA_112409_CSV_X_PWY_R_HSA_375165_CSV
3.64169,910691,1,0,4.84989702137368,0,0,0,0,0,11.9547141730447,0,21.252293448686,1,0,0,0,0,0,0,0,0,0,0,1,0,3.45755899053721,0,0,0,0,0,4.87111844491476,0,0,0
0.799783,930082,1,0,3.26943464043228,0,0,3,3.16317921587093,0,2119.37473434819,10.7548723310424,0,7,0,6.80366523495656,0,0,30.9153424758516,0,3.02448041600228,0,2,0,4,3,10.1070718397541,0,52.1410103499529,0,3.16317921587093,0,41.3738908109935,1.463166,0,0
3.972882,910691,5,0,4.84989702137368,0,0,0,0,0,11.9547141730447,0,21.252293448686,1,0,0,0,0,0,0,0,0,0,0,1,0,3.45755899053721,0,0,0,0,0,4.87111844491476,0,0,0
3.534226,924187,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.830005,930082,5,0,3.26943464043228,0,0,3,3.16317921587093,0,2119.37473434819,10.7548723310424,0,7,0,6.80366523495656,0,0,30.9153424758516,0,3.02448041600228,0,2,0,4,3,10.1070718397541,0,52.1410103499529,0,3.16317921587093,0,41.3738908109935,1.463166,0,0
3.539677,910691,6,0,4.84989702137368,0,0,0,0,0,11.9547141730447,0,21.252293448686,1,0,0,0,0,0,0,0,0,0,0,1,0,3.45755899053721,0,0,0,0,0,4.87111844491476,0,0,0
3.297155,924187,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.336064,930082,6,0,3.26943464043228,0,0,3,3.16317921587093,0,2119.37473434819,10.7548723310424,0,7,0,6.80366523495656,0,0,30.9153424758516,0,3.02448041600228,0,2,0,4,3,10.1070718397541,0,52.1410103499529,0,3.16317921587093,0,41.3738908109935,1.463166,0,0
3.380056,910691,29,0,4.84989702137368,0,0,0,0,0,11.9547141730447,0,21.252293448686,1,0,0,0,0,0,0,0,0,0,0,1,0,3.45755899053721,0,0,0,0,0,4.87111844491476,0,0,0
0.8642,930082,29,0,3.26943464043228,0,0,3,3.16317921587093,0,2119.37473434819,10.7548723310424,0,7,0,6.80366523495656,0,0,30.9153424758516,0,3.02448041600228,0,2,0,4,3,10.1070718397541,0,52.1410103499529,0,3.16317921587093,0,41.3738908109935,1.463166,0,0
2.420028,910691,30,0,4.84989702137368,0,0,0,0,0,11.9547141730447,0,21.252293448686,1,0,0,0,0,0,0,0,0,0,0,1,0,3.45755899053721,0,0,0,0,0,4.87111844491476,0,0,0
