IC50,Cancer,Drug,GO_0006468_EXP,CLS_average_ploidy,EXP_FASTK,EXP_BTK,EXP_CDKL4,EXP_SRPK3,EXP_PTK6,EXP_RIPK2,EXP_MAPK9,EXP_SYK,EXP_PRKD3,EXP_MARK3,EXP_CDK11B,EXP_MET,EXP_WEE2,EXP_ROR1,EXP_BTK_X_EXP_ACACB,EXP_BTK_X_EXP_BLNK,EXP_BTK_X_EXP_CBL,EXP_BTK_X_EXP_CBLB,EXP_BTK_X_EXP_CD79A,EXP_BTK_X_EXP_CDC42,EXP_BTK_X_EXP_DAPP1,EXP_BTK_X_EXP_ITPR2,EXP_BTK_X_EXP_KLRD1,EXP_BTK_X_EXP_LCP2,EXP_BTK_X_EXP_NCKIPSD,EXP_BTK_X_EXP_PIK3CD,EXP_BTK_X_EXP_PIK3CG,EXP_BTK_X_EXP_PIK3R5,EXP_BTK_X_EXP_RAC1,EXP_BTK_X_EXP_SH3BP5,EXP_BTK_X_EXP_SOS1,EXP_BTK_X_EXP_TRAF2,EXP_BTK_X_EXP_VAV3,EXP_BTK_X_EXP_WAS
3.176001,907173,1,3.61745037946234,3.28527789364012,5.72887842402288,2.73606907977179,3.03899848466515,2.91515015435796,3.26717961105432,7.39029201143702,5.91276328260177,3.37627068591157,5.76793524281694,8.00936352568984,4.24403803936682,3.61714892635651,2.82113897136749,7.26614619715409,10.0059077993632,8.78946579971671,12.0178187548718,8.49945538041912,7.79045596579357,11.7198531400502,8.01172494995699,9.07617234112251,8.06820224304621,7.53397674165469,10.8477519559403,10.235611557054,8.19117522494509,8.15289540670779,28.7736382140978,21.6127693734512,17.2284973363766,11.1917419359496,8.88428323412777,8.18034557381485
1.262042,908150,1,8.60887390944102,2.30148844604382,5.11844147321487,2.83303254608064,2.89303313119386,2.80196591820591,3.19427155037956,7.42760154848785,6.29223793904858,3.04639704996678,5.86314640281979,7.36291182317395,3.91316141074272,4.71773033908968,2.89230103423135,5.00754623781583,9.10857774931304,8.68417750862163,11.5726125105669,9.36402695867077,8.23884351706306,13.743759296339,8.3768920889295,8.0592541344767,8.41387438373339,8.34046062355453,12.9021661473534,10.4277523753676,9.1136731027106,9.45708666569299,28.4499467074994,20.0614702664057,16.4076727011082,12.8674230194804,8.63491292393562,7.94171203870376
2.629854,907173,5,3.61745037946234,3.28527789364012,5.72887842402288,2.73606907977179,3.03899848466515,2.91515015435796,3.26717961105432,7.39029201143702,5.91276328260177,3.37627068591157,5.76793524281694,8.00936352568984,4.24403803936682,3.61714892635651,2.82113897136749,7.26614619715409,10.0059077993632,8.78946579971671,12.0178187548718,8.49945538041912,7.79045596579357,11.7198531400502,8.01172494995699,9.07617234112251,8.06820224304621,7.53397674165469,10.8477519559403,10.235611557054,8.19117522494509,8.15289540670779,28.7736382140978,21.6127693734512,17.2284973363766,11.1917419359496,8.88428323412777,8.18034557381485
3.095066,908150,5,8.60887390944102,2.30148844604382,5.11844147321487,2.83303254608064,2.89303313119386,2.80196591820591,3.19427155037956,7.42760154848785,6.29223793904858,3.04639704996678,5.86314640281979,7.36291182317395,3.91316141074272,4.71773033908968,2.89230103423135,5.00754623781583,9.10857774931304,8.68417750862163,11.5726125105669,9.36402695867077,8.23884351706306,13.743759296339,8.3768920889295,8.0592541344767,8.41387438373339,8.34046062355453,12.9021661473534,10.4277523753676,9.1136731027106,9.45708666569299,28.4499467074994,20.0614702664057,16.4076727011082,12.8674230194804,8.63491292393562,7.94171203870376
2.59111,908152,5,22.4284919705573,3.48918453038225,5.34293210445795,2.68719481874946,3.0193455190215,2.77312148996669,3.30270370329164,7.02701141809066,6.14333858464781,3.17032583983738,6.32457561524734,7.264668349328,4.31610414192767,6.39864070511687,2.84779587137751,3.43354496894856,9.64820182427565,7.29685006769762,12.346649118859,8.60422806530206,8.22125452705499,13.3398161919404,8.11574209031771,9.821363141444,8.29648363810838,8.68820528506422,11.8984237540307,9.77969922858143,10.0360953253363,9.00828911518299,27.841377862758,16.0263230620895,17.164349228191,10.1074147958014,8.72962276680357,7.31298778349831
3.406062,907173,6,3.61745037946234,3.28527789364012,5.72887842402288,2.73606907977179,3.03899848466515,2.91515015435796,3.26717961105432,7.39029201143702,5.91276328260177,3.37627068591157,5.76793524281694,8.00936352568984,4.24403803936682,3.61714892635651,2.82113897136749,7.26614619715409,10.0059077993632,8.78946579971671,12.0178187548718,8.49945538041912,7.79045596579357,11.7198531400502,8.01172494995699,9.07617234112251,8.06820224304621,7.53397674165469,10.8477519559403,10.235611557054,8.19117522494509,8.15289540670779,28.7736382140978,21.6127693734512,17.2284973363766,11.1917419359496,8.88428323412777,8.18034557381485
3.154035,908150,6,8.60887390944102,2.30148844604382,5.11844147321487,2.83303254608064,2.89303313119386,2.80196591820591,3.19427155037956,7.42760154848785,6.29223793904858,3.04639704996678,5.86314640281979,7.36291182317395,3.91316141074272,4.71773033908968,2.89230103423135,5.00754623781583,9.10857774931304,8.68417750862163,11.5726125105669,9.36402695867077,8.23884351706306,13.743759296339,8.3768920889295,8.0592541344767,8.41387438373339,8.34046062355453,12.9021661473534,10.4277523753676,9.1136731027106,9.45708666569299,28.4499467074994,20.0614702664057,16.4076727011082,12.8674230194804,8.63491292393562,7.94171203870376
3.133817,908152,6,22.4284919705573,3.48918453038225,5.34293210445795,2.68719481874946,3.0193455190215,2.77312148996669,3.30270370329164,7.02701141809066,6.14333858464781,3.17032583983738,6.32457561524734,7.264668349328,4.31610414192767,6.39864070511687,2.84779587137751,3.43354496894856,9.64820182427565,7.29685006769762,12.346649118859,8.60422806530206,8.22125452705499,13.3398161919404,8.11574209031771,9.821363141444,8.29648363810838,8.68820528506422,11.8984237540307,9.77969922858143,10.0360953253363,9.00828911518299,27.841377862758,16.0263230620895,17.164349228191,10.1074147958014,8.72962276680357,7.31298778349831
2.682806,907173,29,3.61745037946234,3.28527789364012,5.72887842402288,2.73606907977179,3.03899848466515,2.91515015435796,3.26717961105432,7.39029201143702,5.91276328260177,3.37627068591157,5.76793524281694,8.00936352568984,4.24403803936682,3.61714892635651,2.82113897136749,7.26614619715409,10.0059077993632,8.78946579971671,12.0178187548718,8.49945538041912,7.79045596579357,11.7198531400502,8.01172494995699,9.07617234112251,8.06820224304621,7.53397674165469,10.8477519559403,10.235611557054,8.19117522494509,8.15289540670779,28.7736382140978,21.6127693734512,17.2284973363766,11.1917419359496,8.88428323412777,8.18034557381485
0.782183,908150,29,8.60887390944102,2.30148844604382,5.11844147321487,2.83303254608064,2.89303313119386,2.80196591820591,3.19427155037956,7.42760154848785,6.29223793904858,3.04639704996678,5.86314640281979,7.36291182317395,3.91316141074272,4.71773033908968,2.89230103423135,5.00754623781583,9.10857774931304,8.68417750862163,11.5726125105669,9.36402695867077,8.23884351706306,13.743759296339,8.3768920889295,8.0592541344767,8.41387438373339,8.34046062355453,12.9021661473534,10.4277523753676,9.1136731027106,9.45708666569299,28.4499467074994,20.0614702664057,16.4076727011082,12.8674230194804,8.63491292393562,7.94171203870376
