IC50,Cancer,Drug,MOT_2D_beta9strand_CSV,GO_0010591_EXP_X_GO_0035924_EXP,GO_0038128_EXP,PWY_R_HSA_1640170_CSV_X_PWY_R_HSA_1643685_CSV,GO_0008284_EXP,GO_2000251_EXP,MUT_INSRR,DOM_fn3,PWY_R_HSA_1643685_CSV_X_PWY_R_HSA_212436_CSV,MUT_CAMK1_EXP,GO_0018105,Fingerprint_833,PWY_R_HSA_2555396_EXP_X_PWY_R_HSA_8848021_EXP,PWY_R_HSA_2555396_EXP_X_PWY_R_HSA_2672351_EXP,GO_0008285_EXP_X_GO_0010591_EXP,GO_0007399_EXP_X_GO_0010591_EXP,EXP_PLK3_X_EXP_CDC25A,PWY_R_HSA_1257604,EXP_TNIK_X_EXP_TNFRSF1A,GO_0060326_EXP,PWY_R_HSA_68886_X_PWY_R_HSA_76005,EXP_PLK3_X_EXP_STAG3,REC_R_HSA_3928647_EXP_X_REC_R_HSA_8857565_EXP,PWY_R_HSA_168256_X_PWY_R_HSA_2559583,GO_0001649_EXP_X_GO_0016310_EXP,PKA_201,EXP_TNIK,EXP_TLK1,GO_0007050_X_GO_0008630,MUT_NEK10_EXP,GO_0042531,PKA_109_EXP,PWY_R_HSA_1643685_EXP_X_PWY_R_HSA_8878171_EXP,Predicted IC50,Validation
3.015268,910568,1,0,0,3.4643600526,0,6.257286637,0,0,0,0,0,1,0,0,0,0,0,20.644725342,1,16.526528993,0,0,16.624461919,0,0,0,0,3.1716715221,5.0653079701,0,0,2,0,0,1.6816203231,7
3.133641,924238,1,0.751916,0,0,0,6.2661097911,0,0,0,1.0454239756,0,2,0,0,0,0,0,18.608980009,1,20.91100139,2.9369654961,0,16.488602996,0,0,0,0,3.8173634811,5.6384045499,0,0,1,0,0,2.2806053159,9
-2.649341,910568,5,0,0,3.4643600526,0,6.257286637,0,0,0,0,0,1,0,0,0,0,0,20.644725342,1,16.526528993,0,0,16.624461919,0,0,0,0,3.1716715221,5.0653079701,0,0,2,0,0,1.6816203231,8
2.132354,924238,5,0.751916,0,0,0,6.2661097911,0,0,0,1.0454239756,0,2,0,0,0,0,0,18.608980009,1,20.91100139,2.9369654961,0,16.488602996,0,0,0,0,3.8173634811,5.6384045499,0,0,1,0,0,2.2806053159,2
2.566877,910568,6,0,0,3.4643600526,0,6.257286637,0,0,0,0,0,1,0,0,0,0,0,20.644725342,1,16.526528993,0,0,16.624461919,0,0,0,0,3.1716715221,5.0653079701,0,0,2,0,0,1.6816203231,6
3.11055,924238,6,0.751916,0,0,0,6.2661097911,0,0,0,1.0454239756,0,2,0,0,0,0,0,18.608980009,1,20.91100139,2.9369654961,0,16.488602996,0,0,0,0,3.8173634811,5.6384045499,0,0,1,0,0,2.2806053159,8
-1.995556,910568,29,0,0,3.4643600526,0,6.257286637,0,0,0,0,0,1,0,0,0,0,0,20.644725342,1,16.526528993,0,0,16.624461919,0,0,0,0,3.1716715221,5.0653079701,0,0,2,0,0,1.6816203231,4
-2.030435,924238,29,0.751916,0,0,0,6.2661097911,0,0,0,1.0454239756,0,2,0,0,0,0,0,18.608980009,1,20.91100139,2.9369654961,0,16.488602996,0,0,0,0,3.8173634811,5.6384045499,0,0,1,0,0,2.2806053159,1
-1.590963,910568,30,0,0,3.4643600526,0,6.257286637,0,0,0,0,0,1,0,0,0,0,0,20.644725342,1,16.526528993,0,0,16.624461919,0,0,0,0,3.1716715221,5.0653079701,0,0,2,0,0,1.6816203231,8
2.74816,924238,30,0.751916,0,0,0,6.2661097911,0,0,0,1.0454239756,0,2,0,0,0,0,0,18.608980009,1,20.91100139,2.9369654961,0,16.488602996,0,0,0,0,3.8173634811,5.6384045499,0,0,1,0,0,2.2806053159,5
