IC50,Cancer,Drug,PKA_118_ASA,PKA_137_N_EXP,PKA_219,PKA_219_ASA,PKA_44,PKA_44_ASA,PKA_44_CHA,PKA_44_ENG,PKA_44_EXP,DOM_FAT,MUT_PAK5,MUT_STK19,MUT_STK19_EXP,REC_R_HSA_428531,REC_R_HSA_5672950_EXP,REC_R_HSA_5692755_EXP,PWY_R_HSA_373755_CSV,PWY_R_HSA_75035_EXP,GO_0007010,GO_0007030,GO_0007548,GO_0007568,GO_0043154,GO_0043154_EXP,GO_0051402,GO_2000379,EXP_FAM20A,EXP_BRDT,EXP_STK16,EXP_CAMK2D,Predicted IC50,Validation
3.101688,687448,1,0,0,0,0,0,0,0,0,0,0,0,2,5.2430086243,0,5.8129981607,0,0,0,0,0,0,0,0,0,0,0,3.0246092431,2.9447520849,5.1066096864,5.428577798,3.2422427264,1
1.817745,753546,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,2.9947934633,3.0622456647,6.4880234608,4.3197374658,2.9315551984,2
1.795692,753579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.9306829853,2.9262743824,5.5640534114,5.4976556021,2.7683392446,6
3.319675,753596,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.231704838,0,0.807021,0,2,0,0,1,0,0,0,0,3.702485248,2.9957976654,5.9352159326,4.1359245241,2.3333606756,3
3.471126,905955,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0194321487,3.0794714486,5.3016956496,4.7436687975,2.5164007156,10
2.92665,905974,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6816879044,0,0,0,0,0,1,1,0,0,0,1,2.8982673111,3.1179858022,6.6223905422,6.3735193297,1.985560804,7
3.309038,905977,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8319819899,0,0,0,1,1,0,0,0,0,0,0,2.9410140667,3.3440903242,6.6760292477,4.1345933566,2.5067032147,5
3.213031,906813,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7840419678,0,0,0,0,1,0,0,0,0,0,0,2.9898784833,3.4626093119,6.8184411853,4.6730891924,2.4752546302,9
1.038311,906841,1,0,0,0,0,0,0,0,0,0,0,0,1,2.7210164332,0,0,4.7903108889,0,0,1,0,0,0,0,0,0,0,2.8520176879,3.0622812835,6.0677179038,5.1389451953,2.828466831,2
2.241147,907067,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0815847826,0,0,0,0,0,0,0,0,0,2,0,4.6142121153,3.192433314,6.9041002491,5.3577050227,2.5041376609,10
2.686954,907172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9858149746,0,0,0,0,0,0,0,0,0,0,0,3.401768297,3.2336626161,6.1317031908,6.1611277545,2.2656419593,4
4.149806,909713,1,0,3.2692214484,0,0,0,0,0,0,0,0,0,0,0,0,4.2589112437,0,0,0,0,0,0,0,0,0,0,0,2.9943320224,3.1788993323,6.8625699925,5.2082461286,2.3067478184,4
2.31177,909723,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.4322255806,0,0,0,0,1,0,0,0,0,0,0,2.8977386149,2.9019421786,6.3760563725,6.3314217803,2.8298853183,8
-0.094267,910697,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8446799855,3.011024581,6.611937614,5.4941446307,2.3670176234,4
2.557837,910921,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6982204348,0,0,0,0,0,0,0,0,0,0,0,4.7066039441,3.1587881037,6.8081987162,5.5538107885,2.2253553647,2
2.64093,925339,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.6489332262,0,0,0,1,0,0,0,0,0,0,0,3.062479867,3.0825653738,6.5520872733,4.5364269217,2.6686755312,3
3.6846,971777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6708432221,0,0,0,0,0,0,0,1,6.6708432221,0,0,2.8759289153,3.1153607494,7.0680068856,4.4456227649,1.7864007874,3
5.704146,687448,5,0,0,0,0,0,0,0,0,0,0,0,2,5.2430086243,0,5.8129981607,0,0,0,0,0,0,0,0,0,0,0,3.0246092431,2.9447520849,5.1066096864,5.428577798,3.2422427264,6
5.182168,753546,5,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,2.9947934633,3.0622456647,6.4880234608,4.3197374658,2.9315551984,10
4.765808,753579,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.9306829853,2.9262743824,5.5640534114,5.4976556021,2.7683392446,6
2.079553,753596,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.231704838,0,0.807021,0,2,0,0,1,0,0,0,0,3.702485248,2.9957976654,5.9352159326,4.1359245241,2.3333606756,9
4.03632,905955,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0194321487,3.0794714486,5.3016956496,4.7436687975,2.5164007156,8
2.570323,905974,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6816879044,0,0,0,0,0,1,1,0,0,0,1,2.8982673111,3.1179858022,6.6223905422,6.3735193297,1.985560804,10
2.119312,905977,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8319819899,0,0,0,1,1,0,0,0,0,0,0,2.9410140667,3.3440903242,6.6760292477,4.1345933566,2.5067032147,9
4.545034,906813,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7840419678,0,0,0,0,1,0,0,0,0,0,0,2.9898784833,3.4626093119,6.8184411853,4.6730891924,2.4752546302,9
3.738354,906841,5,0,0,0,0,0,0,0,0,0,0,0,1,2.7210164332,0,0,4.7903108889,0,0,1,0,0,0,0,0,0,0,2.8520176879,3.0622812835,6.0677179038,5.1389451953,2.828466831,1
1.753501,907067,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0815847826,0,0,0,0,0,0,0,0,0,2,0,4.6142121153,3.192433314,6.9041002491,5.3577050227,2.5041376609,4
1.50713,907172,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9858149746,0,0,0,0,0,0,0,0,0,0,0,3.401768297,3.2336626161,6.1317031908,6.1611277545,2.2656419593,3
1.515127,909713,5,0,3.2692214484,0,0,0,0,0,0,0,0,0,0,0,0,4.2589112437,0,0,0,0,0,0,0,0,0,0,0,2.9943320224,3.1788993323,6.8625699925,5.2082461286,2.3067478184,5
2.226692,909723,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.4322255806,0,0,0,0,1,0,0,0,0,0,0,2.8977386149,2.9019421786,6.3760563725,6.3314217803,2.8298853183,10
2.684644,910697,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8446799855,3.011024581,6.611937614,5.4941446307,2.3670176234,1
1.181396,910921,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6982204348,0,0,0,0,0,0,0,0,0,0,0,4.7066039441,3.1587881037,6.8081987162,5.5538107885,2.2253553647,7
2.157182,910932,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.8871692185,2.8805661876,6.323518746,5.9785992579,2.8100131,4
1.952338,925339,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.6489332262,0,0,0,1,0,0,0,0,0,0,0,3.062479867,3.0825653738,6.5520872733,4.5364269217,2.6686755312,5
2.694563,971777,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6708432221,0,0,0,0,0,0,0,1,6.6708432221,0,0,2.8759289153,3.1153607494,7.0680068856,4.4456227649,1.7864007874,7
3.286004,687448,6,0,0,0,0,0,0,0,0,0,0,0,2,5.2430086243,0,5.8129981607,0,0,0,0,0,0,0,0,0,0,0,3.0246092431,2.9447520849,5.1066096864,5.428577798,3.2422427264,6
3.786371,753546,6,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,2.9947934633,3.0622456647,6.4880234608,4.3197374658,2.9315551984,4
2.641844,753579,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.9306829853,2.9262743824,5.5640534114,5.4976556021,2.7683392446,4
3.408554,753596,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.231704838,0,0.807021,0,2,0,0,1,0,0,0,0,3.702485248,2.9957976654,5.9352159326,4.1359245241,2.3333606756,8
3.152591,905955,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0194321487,3.0794714486,5.3016956496,4.7436687975,2.5164007156,3
2.816466,905974,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6816879044,0,0,0,0,0,1,1,0,0,0,1,2.8982673111,3.1179858022,6.6223905422,6.3735193297,1.985560804,7
3.802996,905977,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8319819899,0,0,0,1,1,0,0,0,0,0,0,2.9410140667,3.3440903242,6.6760292477,4.1345933566,2.5067032147,6
2.287924,906813,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7840419678,0,0,0,0,1,0,0,0,0,0,0,2.9898784833,3.4626093119,6.8184411853,4.6730891924,2.4752546302,3
3.366852,906841,6,0,0,0,0,0,0,0,0,0,0,0,1,2.7210164332,0,0,4.7903108889,0,0,1,0,0,0,0,0,0,0,2.8520176879,3.0622812835,6.0677179038,5.1389451953,2.828466831,9
1.736758,907067,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0815847826,0,0,0,0,0,0,0,0,0,2,0,4.6142121153,3.192433314,6.9041002491,5.3577050227,2.5041376609,2
2.773033,907172,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9858149746,0,0,0,0,0,0,0,0,0,0,0,3.401768297,3.2336626161,6.1317031908,6.1611277545,2.2656419593,10
3.933043,909713,6,0,3.2692214484,0,0,0,0,0,0,0,0,0,0,0,0,4.2589112437,0,0,0,0,0,0,0,0,0,0,0,2.9943320224,3.1788993323,6.8625699925,5.2082461286,2.3067478184,8
3.098963,909723,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.4322255806,0,0,0,0,1,0,0,0,0,0,0,2.8977386149,2.9019421786,6.3760563725,6.3314217803,2.8298853183,1
3.488497,910697,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8446799855,3.011024581,6.611937614,5.4941446307,2.3670176234,10
1.886937,910921,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6982204348,0,0,0,0,0,0,0,0,0,0,0,4.7066039441,3.1587881037,6.8081987162,5.5538107885,2.2253553647,4
3.265495,910932,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.8871692185,2.8805661876,6.323518746,5.9785992579,2.8100131,5
3.109853,925339,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.6489332262,0,0,0,1,0,0,0,0,0,0,0,3.062479867,3.0825653738,6.5520872733,4.5364269217,2.6686755312,4
3.592205,971777,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6708432221,0,0,0,0,0,0,0,1,6.6708432221,0,0,2.8759289153,3.1153607494,7.0680068856,4.4456227649,1.7864007874,4
-3.049866,687448,29,0,0,0,0,0,0,0,0,0,0,0,2,5.2430086243,0,5.8129981607,0,0,0,0,0,0,0,0,0,0,0,3.0246092431,2.9447520849,5.1066096864,5.428577798,3.2422427264,8
-1.929287,753546,29,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,2.9947934633,3.0622456647,6.4880234608,4.3197374658,2.9315551984,2
-4.351849,753579,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.9306829853,2.9262743824,5.5640534114,5.4976556021,2.7683392446,8
-1.839474,753596,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.231704838,0,0.807021,0,2,0,0,1,0,0,0,0,3.702485248,2.9957976654,5.9352159326,4.1359245241,2.3333606756,10
0.978177,905955,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0194321487,3.0794714486,5.3016956496,4.7436687975,2.5164007156,2
1.499364,905974,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6816879044,0,0,0,0,0,1,1,0,0,0,1,2.8982673111,3.1179858022,6.6223905422,6.3735193297,1.985560804,10
-2.771586,905977,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8319819899,0,0,0,1,1,0,0,0,0,0,0,2.9410140667,3.3440903242,6.6760292477,4.1345933566,2.5067032147,5
1.455604,906813,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7840419678,0,0,0,0,1,0,0,0,0,0,0,2.9898784833,3.4626093119,6.8184411853,4.6730891924,2.4752546302,8
1.749396,906841,29,0,0,0,0,0,0,0,0,0,0,0,1,2.7210164332,0,0,4.7903108889,0,0,1,0,0,0,0,0,0,0,2.8520176879,3.0622812835,6.0677179038,5.1389451953,2.828466831,5
-3.941257,907067,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0815847826,0,0,0,0,0,0,0,0,0,2,0,4.6142121153,3.192433314,6.9041002491,5.3577050227,2.5041376609,7
