IC50,Cancer,Drug,From_Sanger,Fingerprint_834,Fingerprint_822,Fingerprint_819,Fingerprint_813,Fingerprint_797,Fingerprint_776,Fingerprint_712,Fingerprint_704,Fingerprint_697,Fingerprint_686,Fingerprint_677,Fingerprint_646,Fingerprint_635,Fingerprint_629,Fingerprint_617,Fingerprint_611,GO_0030878_EXP,CLS_average_ploidy,EXP_PIM2,PKA_105_CSV_X_Fingerprint_826,PKA_162_CSV_X_Fingerprint_644,PKA_197_ENG_X_Fingerprint_818,PKA_217_EXP_X_Fingerprint_818,EXP_NEK6_X_EXP_TOP2A,EXP_STK16_X_EXP_PEPD,Predicted IC50,Validation
-0.230181,910691,1024,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,2.2577327546,3.7433573765,0,0,0,0,41.709816752,45.896881096,-0.350051099,2
4.470797,907000,1129,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.0060246273,3.2637734427,0,0,0,0,53.978551127,41.164206969,4.1294767236,6
1.253806,1240174,1242,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1.931980783,4.1827978152,0,0,0,0,65.220437023,49.770148906,1.1249593287,1
3.820183,907000,1039,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,2.0060246273,3.2637734427,0,0,0,0,53.978551127,41.164206969,4.0753568981,1
3.698672,910691,1164,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,2.2577327546,3.7433573765,0,0,0,0,41.709816752,45.896881096,4.4521418385,4
3.87329,1240174,249,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.931980783,4.1827978152,0,0,0,0,65.220437023,49.770148906,2.100467322,5
2.082054,910691,207,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.2577327546,3.7433573765,0,0,0,0,41.709816752,45.896881096,2.5412629265,9
5.230878,908130,304,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1.9667921549,4.3899321223,0,0,0,0,58.893869828,42.577808838,4.7613485142,2
0.061859,909735,184,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,14.449119202,1.9784991522,3.5829747542,0,0,0,0,33.109989902,38.06197215,1.2483453805,3
3.901423,1240127,257,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,3.6815714119,4.8531678705,0.753946,0,0,0,65.402407281,61.176622162,4.4388491234,10
4.116611,907051,1158,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,3.4323658044,4.6672182298,0.740448,0,0,0,66.532800514,50.940437967,3.929362768,7
0.890941,1240174,1046,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1.931980783,4.1827978152,0,0,0,0,65.220437023,49.770148906,1.8384817451,2
1.348149,908130,207,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.9667921549,4.3899321223,0,0,0,0,58.893869828,42.577808838,2.3694154522,2
4.370242,907000,1042,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2.0060246273,3.2637734427,0,0,0,2.9116191021,53.978551127,41.164206969,4.0526230831,8
5.049776,910691,192,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.2577327546,3.7433573765,0,0,0,0,41.709816752,45.896881096,2.5412629265,1
0.645199,924187,1060,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2.6533508085,4.2021384011,0,0,0,0,53.031920022,66.260411153,1.8378835408,1
1.541723,907051,1050,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3.4323658044,4.6672182298,0,0,0,0,66.532800514,50.940437967,1.2256148084,2
2.754186,908130,152,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1.9667921549,4.3899321223,0,0,0,0,58.893869828,42.577808838,2.3120000347,6
2.039456574,907000,1014,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2.0060246273,3.2637734427,0,0,0,0,53.978551127,41.164206969,2.0802381013,5
5.340244,1240174,263,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1.931980783,4.1827978152,0,0,0,0,65.220437023,49.770148906,5.4712524724,6
2.631232,1240174,260,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1.931980783,4.1827978152,0,0,0,0,65.220437023,49.770148906,3.2332675878,3
