
Call:  glmnet(x = x, y = y, alpha = 0.75, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 0.99610
2   1 0.01919 0.90770
3   2 0.03726 0.82700
4   3 0.05542 0.75350
5   3 0.07105 0.68660
6   3 0.08414 0.62560
7   3 0.09511 0.57000
8   3 0.10430 0.51940
9   3 0.11200 0.47330
10  3 0.11840 0.43120
11  5 0.12400 0.39290
12  5 0.12900 0.35800
13  5 0.13310 0.32620
14  5 0.13650 0.29720
15  6 0.13940 0.27080
16  6 0.14200 0.24680
17  7 0.14410 0.22480
18  7 0.14590 0.20490
19  8 0.14740 0.18670
20  8 0.14870 0.17010
21  9 0.14980 0.15500
22  9 0.15060 0.14120
23  9 0.15140 0.12870
24  9 0.15200 0.11720
25  9 0.15250 0.10680
26  9 0.15290 0.09732
27  9 0.15320 0.08868
28  9 0.15350 0.08080
29  9 0.15380 0.07362
30  9 0.15400 0.06708
31  9 0.15410 0.06112
32  9 0.15430 0.05569
33  9 0.15440 0.05075
34  9 0.15450 0.04624
35  9 0.15460 0.04213
36  9 0.15460 0.03839
37  9 0.15470 0.03498
38  9 0.15470 0.03187
39  9 0.15480 0.02904
40  9 0.15480 0.02646
41  9 0.15480 0.02411
42  9 0.15480 0.02197
43  9 0.15490 0.02001
44  9 0.15490 0.01824
45  9 0.15490 0.01662
46  9 0.15490 0.01514
47  9 0.15490 0.01380
48  9 0.15490 0.01257
49  9 0.15490 0.01145
50  9 0.15490 0.01044
51  9 0.15490 0.00951
52  9 0.15490 0.00866
53  9 0.15490 0.00789
54  9 0.15490 0.00719
55  9 0.15490 0.00655
56  9 0.15490 0.00597
57  9 0.15490 0.00544
