
Call:  glmnet(x = x, y = y, alpha = 0.8, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 0.93390
2   1 0.01964 0.85090
3   2 0.03773 0.77530
4   3 0.05588 0.70650
5   3 0.07157 0.64370
6   3 0.08467 0.58650
7   3 0.09563 0.53440
8   3 0.10480 0.48690
9   3 0.11240 0.44370
10  3 0.11880 0.40430
11  5 0.12430 0.36830
12  5 0.12920 0.33560
13  5 0.13330 0.30580
14  5 0.13670 0.27860
15  6 0.13960 0.25390
16  6 0.14210 0.23130
17  7 0.14420 0.21080
18  7 0.14600 0.19210
19  7 0.14750 0.17500
20  7 0.14880 0.15940
21  7 0.14980 0.14530
22  7 0.15070 0.13240
23  9 0.15140 0.12060
24  9 0.15200 0.10990
25  9 0.15250 0.10010
26  9 0.15290 0.09124
27  9 0.15320 0.08314
28  9 0.15350 0.07575
29  9 0.15380 0.06902
30  9 0.15400 0.06289
31  9 0.15410 0.05730
32  9 0.15430 0.05221
33  9 0.15440 0.04757
34  9 0.15450 0.04335
35  9 0.15460 0.03950
36  9 0.15460 0.03599
37  9 0.15470 0.03279
38  9 0.15470 0.02988
39  9 0.15480 0.02722
40  9 0.15480 0.02480
41  9 0.15480 0.02260
42  9 0.15480 0.02059
43  9 0.15490 0.01876
44  9 0.15490 0.01710
45  9 0.15490 0.01558
46  9 0.15490 0.01419
47  9 0.15490 0.01293
48  9 0.15490 0.01178
49  9 0.15490 0.01074
50  9 0.15490 0.00978
51  9 0.15490 0.00891
52  9 0.15490 0.00812
53  9 0.15490 0.00740
54  9 0.15490 0.00674
55  9 0.15490 0.00614
56  9 0.15490 0.00560
57  9 0.15490 0.00510
