IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_828,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_806,Fingerprint_801,Fingerprint_799,Fingerprint_797,Fingerprint_791,Fingerprint_782,Fingerprint_780,Fingerprint_776,Fingerprint_714,Fingerprint_710,Fingerprint_697,Fingerprint_687,Fingerprint_686,Fingerprint_677,Fingerprint_648,Fingerprint_646,Fingerprint_629,Fingerprint_617,Fingerprint_611,Fingerprint_588,GO_0001756,GO_0030336_EXP,GO_0038083_CSV,GO_0048812_EXP,EXP_IRAK3,EXP_DYRK2,EXP_BRD4,EXP_CLK4,Predicted IC50,Validation
1.693955,946357,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6.2627220056,3.1976712244,6.7697619897,5.6306040107,4.3199920145,2.2189768052,8
2.860252,946357,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.2627220056,3.1976712244,6.7697619897,5.6306040107,4.3199920145,3.0686749942,4
3.300648,946357,91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,6.2627220056,3.1976712244,6.7697619897,5.6306040107,4.3199920145,2.7208245107,5
1.331337,687505,152,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,3.3782014768,0,7.0687721079,3.0252558276,6.6363806994,5.6090773638,4.0956815638,1.9012737172,8
5.25011,687506,152,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3.4793992429,5.2554457241,5.4320796759,4.6666178059,4.4172805702,10
5.971971,724839,152,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1.360734,4.3973425789,3.9570779615,5.247507449,5.4131136837,4.7921021671,5.3465562958,2
1.721694,906824,152,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,6.3018233858,0,6.3018233858,2.9956604313,6.5237035912,5.9173867453,4.2166412836,1.3945467275,6
3.243609,906843,152,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.795511,0,2.9478359226,6.0368150831,5.5199455439,4.3011066714,3.4037308712,1
3.062111,907068,152,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,4.075339393,3.6321368395,5.2321305576,5.6125055083,4.4088529342,3.7761430132,5
5.385972,930297,152,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.578774,0,4.8521131365,4.9079055785,5.3820524088,4.187053606,5.7544470486,4
